波数(cm-1),吸光度
570.34,0.269956
570.83,0.267996
571.31,0.266409
571.79,0.265234
572.27,0.264500
572.75,0.264177
573.24,0.264161
573.72,0.264294
574.20,0.264394
574.68,0.264305
575.17,0.263933
575.65,0.263240
576.13,0.262242
576.61,0.260983
577.09,0.259522
577.58,0.257914
578.06,0.256205
578.54,0.254435
579.02,0.252631
579.50,0.250815
579.99,0.248997
580.47,0.247185
580.95,0.245388
581.43,0.243630
581.91,0.241951
582.40,0.240406
582.88,0.239053
583.36,0.237928
583.84,0.237029
584.33,0.236306
584.81,0.235671
585.29,0.235005
585.77,0.234212
586.25,0.233239
586.74,0.232102
587.22,0.230883
587.70,0.229712
588.18,0.228758
588.66,0.228182
589.15,0.228115
589.63,0.228642
590.11,0.229770
590.59,0.231419
591.08,0.233419
591.56,0.235541
592.04,0.237521
592.52,0.239139
593.00,0.240288
593.49,0.241005
593.97,0.241463
594.45,0.241899
594.93,0.242558
595.41,0.243596
595.90,0.245030
596.38,0.246734
596.86,0.248480
597.34,0.250022
597.82,0.251159
598.31,0.251808
598.79,0.251999
599.27,0.251843
599.75,0.251467
600.24,0.250948
600.72,0.250279
601.20,0.249369
601.68,0.248088
602.16,0.246321
602.65,0.244035
603.13,0.241294
603.61,0.238259
604.09,0.235130
604.57,0.232111
605.06,0.229342
605.54,0.226865
606.02,0.224634
606.50,0.222545
606.98,0.220487
607.47,0.218363
607.95,0.216123
608.43,0.213749
608.91,0.211248
609.40,0.208632
609.88,0.205923
610.36,0.203153
610.84,0.200373
611.32,0.197651
611.81,0.195063
612.29,0.192662
612.77,0.190463
613.25,0.188428
613.73,0.186486
614.22,0.184551
614.70,0.182558
615.18,0.180488
615.66,0.178370
616.15,0.176278
616.63,0.174295
617.11,0.172502
617.59,0.170947
618.07,0.169640
618.56,0.168556
619.04,0.167639
619.52,0.166811
620.00,0.165977
620.48,0.165050
620.97,0.163962
621.45,0.162683
621.93,0.161226
622.41,0.159646
622.89,0.158013
623.38,0.156383
623.86,0.154782
624.34,0.153199
624.82,0.151605
625.31,0.149981
625.79,0.148353
626.27,0.146797
626.75,0.145426
627.23,0.144346
627.72,0.143611
628.20,0.143196
628.68,0.143004
629.16,0.142903
629.64,0.142758
630.13,0.142490
630.61,0.142084
631.09,0.141577
631.57,0.141028
632.05,0.140482
632.54,0.139949
633.02,0.139411
633.50,0.138845
633.98,0.138253
634.47,0.137671
634.95,0.137173
635.43,0.136839
635.91,0.136723
636.39,0.136843
636.88,0.137167
637.36,0.137639
637.84,0.138183
638.32,0.138717
638.80,0.139154
639.29,0.139388
639.77,0.139305
640.25,0.138804
640.73,0.137826
641.22,0.136395
641.70,0.134627
