波数(cm-1),吸光度
399.67,0.000000
400.16,0.057708
400.64,0.073453
401.12,0.087416
401.60,0.096889
402.09,0.100837
402.57,0.099554
403.05,0.094493
403.53,0.087796
404.01,0.082080
404.50,0.079610
404.98,0.081624
405.46,0.088078
405.94,0.097755
406.42,0.108830
406.91,0.119281
407.39,0.127543
407.87,0.132821
408.35,0.135366
408.83,0.136204
409.32,0.136502
409.80,0.136743
410.28,0.136376
410.76,0.134030
411.25,0.128235
411.73,0.118389
412.21,0.105244
412.69,0.090852
413.17,0.077658
413.66,0.067928
414.14,0.062882
414.62,0.062463
415.10,0.065354
415.58,0.069426
416.07,0.072495
416.55,0.072941
417.03,0.070362
417.51,0.065661
418.00,0.061226
418.48,0.060462
418.96,0.066474
419.44,0.079062
419.92,0.094058
420.41,0.107133
420.89,0.116942
421.37,0.124258
421.85,0.130132
422.33,0.135022
422.82,0.138704
423.30,0.140500
423.78,0.139941
424.26,0.137360
424.74,0.134057
425.23,0.131773
425.71,0.131854
426.19,0.134789
426.67,0.139923
427.16,0.145722
427.64,0.150187
428.12,0.151701
428.60,0.149476
429.08,0.143703
429.57,0.135352
430.05,0.125885
430.53,0.116938
431.01,0.109861
431.49,0.105573
431.98,0.104343
432.46,0.105880
432.94,0.109525
433.42,0.114441
433.90,0.119752
434.39,0.124478
434.87,0.127731
435.35,0.128983
435.83,0.128258
436.32,0.126205
436.80,0.123790
437.28,0.121994
437.76,0.121415
438.24,0.122175
438.73,0.123981
439.21,0.126354
439.69,0.128843
440.17,0.131202
440.65,0.133406
441.14,0.135485
441.62,0.137281
442.10,0.138326
442.58,0.137872
443.07,0.135271
443.55,0.130422
444.03,0.123925
444.51,0.116941
444.99,0.110775
445.48,0.106719
445.96,0.105664
446.44,0.107850
446.92,0.112734
447.40,0.119099
447.89,0.125520
448.37,0.130759
448.85,0.134200
449.33,0.135802
449.81,0.135923
450.30,0.135067
450.78,0.133722
451.26,0.132261
451.74,0.130898
452.23,0.129758
452.71,0.128940
453.19,0.128538
453.67,0.128650
454.15,0.129318
454.64,0.130497
455.12,0.132044
455.60,0.133768
456.08,0.135518
456.56,0.137261
457.05,0.139176
457.53,0.141630
458.01,0.145070
458.49,0.149703
458.98,0.155300
459.46,0.161204
459.94,0.166560
460.42,0.170519
460.90,0.172401
461.39,0.171942
461.87,0.169378
462.35,0.165470
462.83,0.161212
463.31,0.157556
463.80,0.155084
464.28,0.153867
464.76,0.153575
465.24,0.153667
465.72,0.153678
466.21,0.153383
466.69,0.152931
467.17,0.152729
467.65,0.153273
468.14,0.154881
468.62,0.157580
469.10,0.161103
469.58,0.165015
470.06,0.168845
470.55,0.172122
471.03,0.174427
471.51,0.175335
471.99,0.174428
472.47,0.171480
472.96,0.166666
473.44,0.160700
473.92,0.154614
474.40,0.149482
474.88,0.146061
475.37,0.144590
475.85,0.144832
476.33,0.146092
476.81,0.147436
477.30,0.147859
477.78,0.146694
478.26,0.143872
478.74,0.139933
479.22,0.135820
479.71,0.132514
480.19,0.130824
480.67,0.131077
481.15,0.133070
481.63,0.136088
482.12,0.139186
482.60,0.141449
483.08,0.142263
483.56,0.141532
484.05,0.139691
484.53,0.137614
485.01,0.136272
485.49,0.136462
485.97,0.138452
486.46,0.141911
486.94,0.146036
487.42,0.149855
487.90,0.152581
488.38,0.153739
488.87,0.153319
489.35,0.151700
489.83,0.149509
490.31,0.147352
490.79,0.145636
491.28,0.144526
491.76,0.143979
492.24,0.143894
492.72,0.144256
493.21,0.145193
493.69,0.146914
494.17,0.149578
494.65,0.153150
495.13,0.157360
495.62,0.161734
496.10,0.165775
496.58,0.169073
497.06,0.171467
497.54,0.173059
498.03,0.174114
498.51,0.174891
498.99,0.175501
499.47,0.175886
499.95,0.175888
500.44,0.175381
500.92,0.174391
501.40,0.173123
501.88,0.171873
502.37,0.170870
502.85,0.170115
503.33,0.169363
503.81,0.168245
504.29,0.166495
504.78,0.164092
505.26,0.161316
505.74,0.158635
506.22,0.156595
506.70,0.155645
507.19,0.155993
507.67,0.157610
508.15,0.160276
508.63,0.163733
509.12,0.167751
509.60,0.172165
510.08,0.176806
510.56,0.181394
511.04,0.185537
511.53,0.188824
512.01,0.190958
512.49,0.191944
512.97,0.192114
513.45,0.192032
513.94,0.192244
514.42,0.193112
514.90,0.194691
515.38,0.196727
515.86,0.198753
516.35,0.200279
516.83,0.201012
517.31,0.200928
517.79,0.200223
518.28,0.199126
518.76,0.197769
519.24,0.196113
519.72,0.194035
520.20,0.191450
520.69,0.188445
521.17,0.185287
521.65,0.182388
522.13,0.180157
522.61,0.178885
523.10,0.178695
523.58,0.179505
524.06,0.181072
524.54,0.183044
525.03,0.185080
525.51,0.186901
525.99,0.188371
526.47,0.189532
526.95,0.190599
527.44,0.191901
527.92,0.193760
528.40,0.196431
528.88,0.200021
529.36,0.204471
529.85,0.209546
530.33,0.214887
530.81,0.220110
531.29,0.224857
531.77,0.228910
532.26,0.232197
532.74,0.234735
533.22,0.236558
533.70,0.237668
534.19,0.238046
534.67,0.237719
535.15,0.236829
535.63,0.235648
536.11,0.234480
536.60,0.233560
537.08,0.232942
537.56,0.232491
538.04,0.231959
538.52,0.231156
539.01,0.230116
539.49,0.229169
539.97,0.228884
540.45,0.229832
540.93,0.232440
541.42,0.236777
541.90,0.242527
542.38,0.249017
542.86,0.255442
543.35,0.261115
543.83,0.265598
544.31,0.268804
544.79,0.270890
545.27,0.272129
545.76,0.272759
546.24,0.272942
546.72,0.272794
547.20,0.272429
547.68,0.272008
548.17,0.271749
548.65,0.271872
549.13,0.272575
549.61,0.274001
550.10,0.276230
550.58,0.279304
551.06,0.283224
551.54,0.287940
552.02,0.293296
552.51,0.298996
552.99,0.304626
553.47,0.309667
553.95,0.313687
554.43,0.316514
554.92,0.318331
555.40,0.319630
555.88,0.321012
556.36,0.322968
556.84,0.325654
557.33,0.328879
557.81,0.332182
558.29,0.335073
558.77,0.337182
559.26,0.338389
559.74,0.338796
560.22,0.338603
560.70,0.337940
561.18,0.336765
561.67,0.334869
562.15,0.331979
562.63,0.327937
563.11,0.322796
563.59,0.316875
564.08,0.310673
564.56,0.304801
565.04,0.299801
