波数(cm-1),吸光度
399.67,0.000000
400.16,-0.074527
400.64,-0.034961
401.12,0.001770
401.60,0.031308
402.09,0.051888
402.57,0.063191
403.05,0.065971
403.53,0.061751
404.01,0.053011
404.50,0.043015
404.98,0.035056
405.46,0.031799
405.94,0.034387
406.42,0.042573
406.91,0.055012
407.39,0.069723
407.87,0.084363
408.35,0.096674
408.83,0.105216
409.32,0.109515
409.80,0.110027
410.28,0.107652
410.76,0.103375
411.25,0.097984
411.73,0.091993
412.21,0.085700
412.69,0.079210
413.17,0.072474
413.66,0.065314
414.14,0.057520
414.62,0.048947
415.10,0.039657
415.58,0.029996
416.07,0.020627
416.55,0.012662
417.03,0.007549
417.51,0.007079
418.00,0.013008
418.48,0.025872
418.96,0.043340
419.44,0.060357
419.92,0.072716
420.41,0.079553
420.89,0.082580
421.37,0.083895
421.85,0.085071
422.33,0.086966
422.82,0.089846
423.30,0.093570
423.78,0.097668
424.26,0.101514
424.74,0.104385
425.23,0.105616
425.71,0.104691
426.19,0.101335
426.67,0.095770
427.16,0.088814
427.64,0.081823
428.12,0.076135
428.60,0.072626
429.08,0.071387
429.57,0.071704
430.05,0.072264
430.53,0.071514
431.01,0.068329
431.49,0.062434
431.98,0.054743
432.46,0.046984
432.94,0.041292
433.42,0.039435
433.90,0.042270
434.39,0.049524
434.87,0.059753
435.35,0.070906
435.83,0.080936
436.32,0.088704
436.80,0.094136
437.28,0.097865
437.76,0.100642
438.24,0.102924
438.73,0.104771
439.21,0.105966
439.69,0.106298
440.17,0.105816
440.65,0.104910
441.14,0.104254
441.62,0.104563
442.10,0.106235
442.58,0.109141
443.07,0.112566
443.55,0.115551
444.03,0.117213
444.51,0.117135
444.99,0.115457
445.48,0.112840
445.96,0.110300
446.44,0.108904
446.92,0.109560
447.40,0.112613
447.89,0.117729
448.37,0.123943
448.85,0.129987
449.33,0.134587
449.81,0.136710
450.30,0.135916
450.78,0.132439
451.26,0.127226
451.74,0.121625
452.23,0.117120
452.71,0.114879
453.19,0.115375
453.67,0.118361
454.15,0.123037
454.64,0.128479
455.12,0.133809
455.60,0.138341
456.08,0.141502
456.56,0.142640
457.05,0.141127
457.53,0.136735
458.01,0.130128
458.49,0.122905
458.98,0.116959
459.46,0.113777
459.94,0.113921
460.42,0.117135
460.90,0.122491
461.39,0.128659
461.87,0.134116
462.35,0.137547
462.83,0.138360
463.31,0.136781
463.80,0.133733
464.28,0.130340
464.76,0.127654
465.24,0.126336
465.72,0.126571
466.21,0.128142
466.69,0.130546
467.17,0.133194
467.65,0.135503
468.14,0.137046
468.62,0.137594
469.10,0.137130
469.58,0.135861
470.06,0.134178
470.55,0.132613
471.03,0.131674
471.51,0.131708
471.99,0.132742
472.47,0.134406
472.96,0.136010
473.44,0.136816
473.92,0.136419
474.40,0.134840
474.88,0.132489
475.37,0.129924
475.85,0.127729
476.33,0.126371
476.81,0.126112
477.30,0.127039
477.78,0.129053
478.26,0.131955
478.74,0.135479
479.22,0.139335
479.71,0.143190
480.19,0.146603
480.67,0.149080
481.15,0.150154
481.63,0.149486
482.12,0.147005
482.60,0.142916
483.08,0.137672
483.56,0.131842
484.05,0.126090
484.53,0.121109
485.01,0.117470
485.49,0.115578
485.97,0.115527
486.46,0.117088
486.94,0.119755
487.42,0.122871
487.90,0.125823
488.38,0.128125
488.87,0.129586
489.35,0.130329
489.83,0.130718
490.31,0.131175
490.79,0.131986
491.28,0.133188
491.76,0.134563
492.24,0.135769
492.72,0.136538
493.21,0.136877
493.69,0.137076
494.17,0.137587
494.65,0.138744
495.13,0.140605
495.62,0.142851
496.10,0.144917
496.58,0.146157
497.06,0.146144
497.54,0.144849
498.03,0.142625
498.51,0.140011
498.99,0.137468
499.47,0.135260
499.95,0.133406
500.44,0.131804
500.92,0.130394
501.40,0.129299
501.88,0.128838
502.37,0.129420
502.85,0.131299
503.33,0.134405
503.81,0.138286
504.29,0.142275
504.78,0.145694
505.26,0.148066
505.74,0.149266
506.22,0.149503
506.70,0.149253
507.19,0.149071
507.67,0.149500
508.15,0.150906
508.63,0.153416
509.12,0.156936
509.60,0.161190
510.08,0.165780
510.56,0.170189
511.04,0.173875
511.53,0.176394
512.01,0.177497
512.49,0.177254
512.97,0.176011
513.45,0.174301
513.94,0.172639
514.42,0.171433
514.90,0.170960
515.38,0.171370
515.86,0.172762
516.35,0.175227
516.83,0.178833
517.31,0.183549
517.79,0.189127
518.28,0.195077
518.76,0.200674
519.24,0.205187
519.72,0.208190
520.20,0.209726
520.69,0.210352
521.17,0.210880
521.65,0.212140
522.13,0.214626
522.61,0.218379
523.10,0.222981
523.58,0.227739
524.06,0.231918
524.54,0.234948
525.03,0.236624
525.51,0.237098
525.99,0.236798
526.47,0.236219
526.95,0.235816
527.44,0.235908
527.92,0.236631
528.40,0.237996
528.88,0.239898
529.36,0.242157
529.85,0.244524
530.33,0.246748
530.81,0.248673
531.29,0.250301
531.77,0.251821
532.26,0.253510
532.74,0.255593
533.22,0.258075
533.70,0.260703
534.19,0.263024
534.67,0.264652
535.15,0.265513
535.63,0.266045
536.11,0.267070
536.60,0.269547
537.08,0.274166
537.56,0.281011
538.04,0.289466
