波数(cm-1),吸光度
399.67,0.000000
400.16,0.205726
400.64,0.200253
401.12,0.190009
401.60,0.178416
402.09,0.168914
402.57,0.164007
403.05,0.164434
403.53,0.169235
404.01,0.176077
404.50,0.182260
404.98,0.185862
405.46,0.186312
405.94,0.184402
406.42,0.181629
406.91,0.179667
407.39,0.179783
407.87,0.182681
408.35,0.188330
408.83,0.195992
409.32,0.204323
409.80,0.211452
410.28,0.215256
410.76,0.213403
411.25,0.204168
411.73,0.187502
412.21,0.165592
412.69,0.142475
413.17,0.122377
413.66,0.108793
414.14,0.103345
414.62,0.105753
415.10,0.114103
415.58,0.125470
416.07,0.136775
416.55,0.145305
417.03,0.149517
417.51,0.149006
418.00,0.144451
418.48,0.137324
418.96,0.129799
419.44,0.124027
419.92,0.120999
420.41,0.120354
420.89,0.121254
421.37,0.123227
421.85,0.126335
422.33,0.131005
422.82,0.137742
423.30,0.146907
423.78,0.158393
424.26,0.171504
424.74,0.184909
425.23,0.196933
425.71,0.205953
426.19,0.210645
426.67,0.210591
427.16,0.206554
427.64,0.200490
428.12,0.194816
428.60,0.191649
429.08,0.192164
429.57,0.196219
430.05,0.202510
430.53,0.208954
431.01,0.213652
431.49,0.215588
431.98,0.215245
432.46,0.214200
432.94,0.214367
433.42,0.216920
433.90,0.221747
434.39,0.227510
434.87,0.232347
435.35,0.234965
435.83,0.235299
436.32,0.234599
436.80,0.234652
437.28,0.236993
437.76,0.242055
438.24,0.248997
438.73,0.255915
439.21,0.260786
439.69,0.262244
440.17,0.260080
440.65,0.255107
441.14,0.248686
441.62,0.242190
442.10,0.236515
442.58,0.231968
443.07,0.228213
443.55,0.224564
444.03,0.220254
444.51,0.214784
444.99,0.208063
445.48,0.200430
445.96,0.192651
446.44,0.185763
446.92,0.180947
447.40,0.179054
447.89,0.180306
448.37,0.184179
448.85,0.189564
449.33,0.195098
449.81,0.199507
450.30,0.202111
450.78,0.202987
451.26,0.202956
451.74,0.203138
452.23,0.204509
452.71,0.207423
453.19,0.211511
453.67,0.215938
454.15,0.219919
454.64,0.223166
455.12,0.225957
455.60,0.228896
456.08,0.232441
456.56,0.236471
457.05,0.240019
457.53,0.241579
458.01,0.239812
458.49,0.234625
458.98,0.227337
459.46,0.220041
459.94,0.214483
460.42,0.211614
460.90,0.211558
461.39,0.213821
461.87,0.217654
462.35,0.222413
462.83,0.227833
463.31,0.233963
463.80,0.240865
464.28,0.248275
464.76,0.255394
465.24,0.261039
465.72,0.264185
466.21,0.264392
466.69,0.262236
467.17,0.259079
467.65,0.256693
468.14,0.256468
468.62,0.258951
469.10,0.263724
469.58,0.269640
470.06,0.275321
470.55,0.279578
471.03,0.281823
471.51,0.282017
471.99,0.280481
472.47,0.277593
472.96,0.273646
473.44,0.268842
473.92,0.263393
474.40,0.257597
474.88,0.251822
475.37,0.246390
475.85,0.241551
476.33,0.237427
476.81,0.234021
477.30,0.231279
477.78,0.229139
478.26,0.227571
478.74,0.226595
479.22,0.226264
479.71,0.226631
480.19,0.227756
480.67,0.229703
481.15,0.232561
481.63,0.236431
482.12,0.241354
482.60,0.247210
483.08,0.253572
483.56,0.259721
484.05,0.264679
484.53,0.267497
485.01,0.267689
485.49,0.265425
485.97,0.261516
486.46,0.256994
486.94,0.252815
487.42,0.249545
487.90,0.247316
488.38,0.245974
488.87,0.245257
489.35,0.244983
489.83,0.245120
490.31,0.245750
490.79,0.246943
491.28,0.248636
491.76,0.250610
492.24,0.252595
492.72,0.254436
493.21,0.256241
493.69,0.258369
494.17,0.261262
494.65,0.265153
495.13,0.269897
495.62,0.274878
496.10,0.279228
496.58,0.282023
497.06,0.282683
497.54,0.281213
498.03,0.278165
498.51,0.274396
498.99,0.270696
499.47,0.267663
499.95,0.265577
500.44,0.264484
500.92,0.264326
501.40,0.265026
501.88,0.266514
502.37,0.268668
502.85,0.271276
503.33,0.274030
503.81,0.276598
504.29,0.278757
504.78,0.280439
505.26,0.281717
505.74,0.282702
506.22,0.283439
506.70,0.283846
507.19,0.283768
507.67,0.283095
508.15,0.281916
508.63,0.280539
509.12,0.279425
509.60,0.278990
510.08,0.279443
510.56,0.280746
511.04,0.282658
511.53,0.284894
512.01,0.287258
512.49,0.289755
512.97,0.292511
513.45,0.295594
513.94,0.298815
514.42,0.301637
514.90,0.303273
515.38,0.303070
515.86,0.300868
516.35,0.297295
516.83,0.293567
517.31,0.291150
517.79,0.291112
518.28,0.293664
518.76,0.298082
519.24,0.302965
519.72,0.306899
520.20,0.308902
520.69,0.308831
521.17,0.307201
521.65,0.304836
522.13,0.302406
522.61,0.300221
523.10,0.298268
523.58,0.296383
524.06,0.294505
524.54,0.292862
525.03,0.291947
525.51,0.292361
525.99,0.294529
526.47,0.298429
526.95,0.303534
527.44,0.308974
527.92,0.313924
528.40,0.317797
528.88,0.320370
529.36,0.321716
529.85,0.322075
530.33,0.321780
530.81,0.321214
531.29,0.320856
531.77,0.321222
532.26,0.322755
532.74,0.325723
533.22,0.330064
533.70,0.335354
534.19,0.340830
534.67,0.345664
535.15,0.349220
535.63,0.351295
536.11,0.352181
536.60,0.352494
537.08,0.352875
537.56,0.353681
538.04,0.354918
538.52,0.356303
539.01,0.357515
539.49,0.358396
539.97,0.359080
540.45,0.359908
540.93,0.361292
541.42,0.363499
541.90,0.366558
542.38,0.370294
542.86,0.374462
543.35,0.378898
