波数(cm-1),吸光度
399.67,0.000000
400.16,0.163532
400.64,0.124944
401.12,0.084785
401.60,0.047764
402.09,0.016775
402.57,-0.006367
403.05,-0.021140
403.53,-0.028165
404.01,-0.029219
404.50,-0.027056
404.98,-0.024585
405.46,-0.024008
405.94,-0.025919
406.42,-0.029535
406.91,-0.033295
407.39,-0.035727
407.87,-0.035865
408.35,-0.033446
408.83,-0.028809
409.32,-0.022581
409.80,-0.015366
410.28,-0.007581
410.76,0.000397
411.25,0.008100
411.73,0.014989
412.21,0.020589
412.69,0.024875
413.17,0.028410
413.66,0.032276
414.14,0.037580
414.62,0.044943
415.10,0.054239
415.58,0.064610
416.07,0.074819
416.55,0.083472
417.03,0.089433
417.51,0.091850
418.00,0.090284
418.48,0.084999
418.96,0.077482
419.44,0.070102
419.92,0.064427
420.41,0.060307
420.89,0.056623
421.37,0.052453
421.85,0.047371
422.33,0.041504
422.82,0.035375
423.30,0.029829
423.78,0.025737
424.26,0.023674
424.74,0.023868
425.23,0.026191
425.71,0.030357
426.19,0.036039
426.67,0.042922
427.16,0.050653
427.64,0.058752
428.12,0.066670
428.60,0.073811
429.08,0.079569
429.57,0.083445
430.05,0.085092
430.53,0.084513
431.01,0.082205
431.49,0.079176
431.98,0.076648
432.46,0.075501
432.94,0.076037
433.42,0.077852
433.90,0.080110
434.39,0.081822
434.87,0.082328
435.35,0.081593
435.83,0.080223
436.32,0.079119
436.80,0.078990
437.28,0.080034
437.76,0.081827
438.24,0.083561
438.73,0.084378
439.21,0.083857
439.69,0.082197
440.17,0.080176
440.65,0.078754
441.14,0.078735
441.62,0.080390
442.10,0.083290
442.58,0.086381
443.07,0.088421
443.55,0.088621
444.03,0.086894
444.51,0.083817
444.99,0.080221
445.48,0.076972
445.96,0.074738
446.44,0.073921
446.92,0.074666
447.40,0.076813
447.89,0.079906
448.37,0.083219
448.85,0.085925
449.33,0.087247
449.81,0.086606
450.30,0.083843
450.78,0.079284
451.26,0.073758
451.74,0.068329
452.23,0.064107
452.71,0.061918
453.19,0.062060
453.67,0.064332
454.15,0.068203
454.64,0.073131
455.12,0.078687
455.60,0.084597
456.08,0.090604
456.56,0.096206
457.05,0.100585
457.53,0.102808
458.01,0.102262
458.49,0.099239
458.98,0.094919
459.46,0.090863
459.94,0.088202
460.42,0.087364
460.90,0.088126
461.39,0.089863
461.87,0.091843
462.35,0.093510
462.83,0.094675
463.31,0.095461
463.80,0.096118
464.28,0.096771
464.76,0.097294
465.24,0.097320
465.72,0.096445
466.21,0.094415
466.69,0.091323
467.17,0.087587
467.65,0.083845
468.14,0.080690
468.62,0.078479
469.10,0.077337
469.58,0.077249
470.06,0.078230
470.55,0.080442
471.03,0.084136
471.51,0.089454
471.99,0.096114
472.47,0.103268
472.96,0.109581
473.44,0.113742
473.92,0.115145
474.40,0.114044
474.88,0.111349
475.37,0.108072
475.85,0.105043
476.33,0.102636
476.81,0.100766
477.30,0.099026
477.78,0.096956
478.26,0.094328
478.74,0.091269
479.22,0.088235
479.71,0.085806
480.19,0.084529
480.67,0.084690
481.15,0.086239
481.63,0.088776
482.12,0.091693
482.60,0.094323
483.08,0.096104
483.56,0.096760
484.05,0.096329
484.53,0.095190
485.01,0.093918
485.49,0.093169
485.97,0.093435
486.46,0.094869
486.94,0.097258
487.42,0.100059
