波数(cm-1),吸光度
399.67,0.000000
400.16,0.160703
400.64,0.151421
401.12,0.149854
401.60,0.153948
402.09,0.161951
402.57,0.172148
403.05,0.182571
403.53,0.190907
404.01,0.194576
404.50,0.192136
404.98,0.184323
405.46,0.173973
405.94,0.164451
406.42,0.158326
406.91,0.156973
407.39,0.160432
407.87,0.167689
408.35,0.176843
408.83,0.185764
409.32,0.192491
409.80,0.195769
410.28,0.195259
410.76,0.191343
411.25,0.184884
411.73,0.176826
412.21,0.167912
412.69,0.158414
413.17,0.148212
413.66,0.137099
414.14,0.125222
414.62,0.113306
415.10,0.102806
415.58,0.095566
416.07,0.093420
416.55,0.097869
417.03,0.109574
417.51,0.127927
418.00,0.149924
418.48,0.169723
418.96,0.179618
419.44,0.175469
419.92,0.160999
420.41,0.144351
420.89,0.131777
421.37,0.125538
421.85,0.125742
422.33,0.131440
422.82,0.141231
423.30,0.153202
423.78,0.165139
424.26,0.175098
424.74,0.181744
425.23,0.184657
425.71,0.184037
426.19,0.180383
426.67,0.174390
427.16,0.166975
427.64,0.159348
428.12,0.152698
428.60,0.147972
429.08,0.145681
429.57,0.145832
430.05,0.148094
430.53,0.151977
431.01,0.157048
431.49,0.163013
431.98,0.169738
432.46,0.177142
432.94,0.185022
433.42,0.192919
433.90,0.200148
434.39,0.205797
434.87,0.209020
435.35,0.209341
435.83,0.206825
436.32,0.202055
436.80,0.195823
437.28,0.188896
437.76,0.181854
438.24,0.175204
438.73,0.169586
439.21,0.165749
439.69,0.164513
440.17,0.166560
440.65,0.172138
441.14,0.180850
441.62,0.191467
442.10,0.202211
442.58,0.211102
443.07,0.216877
443.55,0.219586
444.03,0.220535
444.51,0.221570
444.99,0.224165
445.48,0.229036
445.96,0.235810
446.44,0.243241
446.92,0.249530
447.40,0.253147
447.89,0.253424
448.37,0.250730
448.85,0.246245
449.33,0.241489
449.81,0.237994
450.30,0.236840
450.78,0.238525
451.26,0.242771
451.74,0.248552
452.23,0.254175
452.71,0.257698
453.19,0.257669
453.67,0.253514
454.15,0.245815
454.64,0.235907
455.12,0.225506
455.60,0.216202
456.08,0.209177
456.56,0.205294
457.05,0.204865
457.53,0.207508
458.01,0.211976
458.49,0.216595
458.98,0.219918
459.46,0.221075
459.94,0.219832
460.42,0.216289
460.90,0.210749
461.39,0.203713
461.87,0.195967
462.35,0.188532
462.83,0.182350
463.31,0.178110
463.80,0.176071
464.28,0.176121
464.76,0.177949
465.24,0.181197
465.72,0.185538
466.21,0.190609
466.69,0.195963
467.17,0.201056
467.65,0.205242
468.14,0.207974
468.62,0.209007
469.10,0.208534
469.58,0.207160
470.06,0.205676
470.55,0.204788
471.03,0.204782
471.51,0.205466
471.99,0.206283
472.47,0.206695
472.96,0.206520
473.44,0.206134
473.92,0.206215
474.40,0.207370
474.88,0.209742
475.37,0.212924
475.85,0.216067
476.33,0.218226
476.81,0.218831
477.30,0.218004
477.78,0.216684
478.26,0.216199
478.74,0.217802
479.22,0.222045
479.71,0.228659
480.19,0.236637
480.67,0.244621
481.15,0.251288
481.63,0.255648
482.12,0.257339
482.60,0.256549
483.08,0.253826
483.56,0.249777
484.05,0.245001
484.53,0.240092
485.01,0.235631
485.49,0.232210
485.97,0.230256
486.46,0.229838
486.94,0.230599
487.42,0.231796
487.90,0.232589
488.38,0.232265
488.87,0.230606
489.35,0.227988
489.83,0.225281
490.31,0.223478
490.79,0.223317
491.28,0.225100
491.76,0.228597
492.24,0.233211
492.72,0.238202
493.21,0.243012
493.69,0.247352
494.17,0.251128
494.65,0.254280
495.13,0.256596
495.62,0.257703
496.10,0.257260
496.58,0.255168
497.06,0.251785
497.54,0.247836
498.03,0.244220
498.51,0.241611
498.99,0.240220
499.47,0.239798
499.95,0.239789
500.44,0.239628
500.92,0.238961
501.40,0.237849
501.88,0.236727
502.37,0.236264
502.85,0.237052
503.33,0.239452
503.81,0.243564
504.29,0.249303
504.78,0.256504
505.26,0.264920
505.74,0.274178
506.22,0.283571
506.70,0.292008
507.19,0.298274
507.67,0.301361
508.15,0.301069
508.63,0.298156
509.12,0.294115
509.60,0.290511
510.08,0.288400
510.56,0.288196
511.04,0.289615
511.53,0.291945
512.01,0.294307
512.49,0.296049
512.97,0.296904
513.45,0.296960
513.94,0.296498
514.42,0.295816
514.90,0.295163
515.38,0.294751
515.86,0.294883
516.35,0.296002
516.83,0.298578
517.31,0.302934
517.79,0.308977
518.28,0.316098
518.76,0.323191
519.24,0.329013
519.72,0.332708
520.20,0.334088
520.69,0.333739
521.17,0.332672
521.65,0.331997
522.13,0.332486
522.61,0.334441
523.10,0.337739
523.58,0.341971
524.06,0.346620
524.54,0.351156
525.03,0.355117
525.51,0.358065
525.99,0.359599
526.47,0.359491
526.95,0.357840
527.44,0.355186
527.92,0.352342
528.40,0.350212
528.88,0.349475
529.36,0.350375
529.85,0.352738
530.33,0.356052
530.81,0.359722
531.29,0.363247
531.77,0.366440
532.26,0.369409
532.74,0.372413
533.22,0.375642
533.70,0.379101
534.19,0.382628
534.67,0.386072
535.15,0.389471
535.63,0.393144
536.11,0.397531
536.60,0.402948
537.08,0.409286
537.56,0.415941
538.04,0.421910
538.52,0.426175
539.01,0.428207
539.49,0.428172
539.97,0.426887
540.45,0.425346
540.93,0.424353
541.42,0.424185
541.90,0.424631
542.38,0.425258
542.86,0.425812
543.35,0.426456
543.83,0.427813
544.31,0.430663
544.79,0.435583
545.27,0.442629
545.76,0.451216
546.24,0.460275
546.72,0.468639
547.20,0.475619
547.68,0.481199
548.17,0.485959
548.65,0.490609
549.13,0.495658
549.61,0.501186
550.10,0.506943
550.58,0.512607
551.06,0.518100
551.54,0.523682
552.02,0.529831
552.51,0.536905
552.99,0.544848
553.47,0.553038
553.95,0.560446
554.43,0.566008
554.92,0.568972
555.40,0.569231
555.88,0.567257
556.36,0.563871
556.84,0.559874
557.33,0.555903
557.81,0.552420
558.29,0.549723
558.77,0.548022
559.26,0.547372
559.74,0.547566
560.22,0.548006
560.70,0.547728
561.18,0.545697
561.67,0.541067
562.15,0.533628
562.63,0.523905
563.11,0.513029
563.59,0.502294
564.08,0.492703
564.56,0.484837
565.04,0.478749
565.52,0.474147
566.00,0.470588
566.49,0.467689
566.97,0.465193
567.45,0.462940
567.93,0.460798
568.42,0.458585
568.90,0.456062
569.38,0.453014
569.86,0.449310
570.34,0.444945
570.83,0.440005
571.31,0.434592
571.79,0.428780
572.27,0.422625
572.75,0.416251
573.24,0.409915
573.72,0.403995
574.20,0.398950
574.68,0.395126
575.17,0.392593
575.65,0.391051
576.13,0.389869
576.61,0.388311
577.09,0.385784
577.58,0.382142
578.06,0.377700
578.54,0.373095
579.02,0.368959
579.50,0.365733
579.99,0.363519
580.47,0.362084
580.95,0.360967
581.43,0.359658
581.91,0.357816
582.40,0.355305
582.88,0.352205
583.36,0.348703
583.84,0.345038
584.33,0.341446
584.81,0.338159
585.29,0.335432
585.77,0.333490
586.25,0.332467
586.74,0.332334
