波数(cm-1),吸光度
399.67,0.000000
400.16,0.041043
400.64,0.048403
401.12,0.054855
401.60,0.060595
402.09,0.066084
402.57,0.071668
403.05,0.077308
403.53,0.082528
404.01,0.086486
404.50,0.088400
404.98,0.087943
405.46,0.085407
405.94,0.081536
406.42,0.077188
406.91,0.073087
407.39,0.069623
407.87,0.066889
408.35,0.064780
408.83,0.063130
409.32,0.061815
409.80,0.060793
410.28,0.060066
410.76,0.059627
411.25,0.059422
411.73,0.059372
412.21,0.059405
412.69,0.059506
413.17,0.059724
413.66,0.060124
414.14,0.060730
414.62,0.061512
415.10,0.062392
415.58,0.063308
416.07,0.064275
416.55,0.065417
417.03,0.066929
417.51,0.068975
418.00,0.071477
418.48,0.073898
418.96,0.075269
419.44,0.074777
419.92,0.072503
420.41,0.069312
420.89,0.066136
421.37,0.063462
421.85,0.061410
422.33,0.059848
422.82,0.058578
423.30,0.057471
423.78,0.056592
424.26,0.056175
424.74,0.056557
425.23,0.057974
425.71,0.060419
426.19,0.063605
426.67,0.067032
427.16,0.070146
427.64,0.072513
428.12,0.073994
428.60,0.074717
429.08,0.074969
429.57,0.075011
430.05,0.074967
430.53,0.074794
431.01,0.074355
431.49,0.073525
431.98,0.072309
432.46,0.070855
432.94,0.069399
433.42,0.068156
433.90,0.067250
434.39,0.066701
434.87,0.066448
435.35,0.066415
435.83,0.066549
436.32,0.066846
436.80,0.067321
437.28,0.067956
437.76,0.068670
438.24,0.069343
438.73,0.069861
439.21,0.070179
439.69,0.070344
440.17,0.070470
440.65,0.070674
441.14,0.071023
441.62,0.071480
442.10,0.071921
442.58,0.072196
443.07,0.072224
443.55,0.072040
444.03,0.071781
444.51,0.071590
444.99,0.071526
445.48,0.071545
445.96,0.071524
446.44,0.071343
446.92,0.070960
447.40,0.070454
447.89,0.069979
448.37,0.069695
448.85,0.069665
449.33,0.069837
449.81,0.070066
450.30,0.070207
450.78,0.070179
451.26,0.070030
451.74,0.069912
452.23,0.070015
452.71,0.070460
453.19,0.071223
453.67,0.072143
454.15,0.073008
454.64,0.073679
455.12,0.074138
455.60,0.074500
456.08,0.074945
456.56,0.075643
457.05,0.076657
457.53,0.077887
458.01,0.079095
458.49,0.080048
458.98,0.080651
459.46,0.080971
459.94,0.081141
460.42,0.081262
460.90,0.081350
461.39,0.081347
461.87,0.081172
462.35,0.080792
462.83,0.080256
463.31,0.079701
463.80,0.079293
464.28,0.079148
464.76,0.079307
465.24,0.079731
465.72,0.080338
466.21,0.081045
466.69,0.081806
467.17,0.082609
467.65,0.083447
468.14,0.084289
468.62,0.085065
469.10,0.085684
469.58,0.086091
470.06,0.086292
470.55,0.086369
471.03,0.086434
471.51,0.086570
471.99,0.086775
472.47,0.086946
472.96,0.086915
473.44,0.086565
473.92,0.085909
474.40,0.085091
474.88,0.084311
475.37,0.083721
475.85,0.083379
476.33,0.083224
476.81,0.083122
477.30,0.082915
477.78,0.082514
478.26,0.081934
478.74,0.081291
479.22,0.080730
479.71,0.080358
480.19,0.080208
480.67,0.080236
481.15,0.080360
481.63,0.080500
482.12,0.080632
482.60,0.080780
483.08,0.080986
483.56,0.081266
484.05,0.081578
484.53,0.081824
485.01,0.081902
485.49,0.081750
485.97,0.081386
486.46,0.080891
486.94,0.080376
487.42,0.079922
487.90,0.079562
488.38,0.079285
488.87,0.079062
489.35,0.078879
489.83,0.078755
490.31,0.078735
490.79,0.078862
491.28,0.079147
491.76,0.079551
492.24,0.079995
492.72,0.080392
493.21,0.080691
493.69,0.080891
494.17,0.081035
494.65,0.081170
495.13,0.081320
495.62,0.081473
496.10,0.081604
496.58,0.081701
497.06,0.081796
497.54,0.081957
498.03,0.082271
498.51,0.082790
498.99,0.083506
499.47,0.084339
499.95,0.085171
500.44,0.085891
500.92,0.086437
501.40,0.086824
501.88,0.087130
502.37,0.087447
502.85,0.087826
503.33,0.088244
503.81,0.088632
504.29,0.088920
504.78,0.089088
505.26,0.089175
505.74,0.089266
506.22,0.089452
506.70,0.089787
507.19,0.090265
507.67,0.090833
508.15,0.091429
508.63,0.092027
509.12,0.092653
509.60,0.093362
510.08,0.094198
510.56,0.095153
511.04,0.096155
511.53,0.097095
512.01,0.097866
512.49,0.098431
512.97,0.098832
513.45,0.099178
513.94,0.099586
514.42,0.100136
514.90,0.100840
515.38,0.101653
515.86,0.102499
516.35,0.103316
516.83,0.104092
517.31,0.104850
517.79,0.105627
518.28,0.106432
518.76,0.107226
519.24,0.107952
519.72,0.108577
520.20,0.109125
520.69,0.109682
521.17,0.110358
521.65,0.111244
522.13,0.112364
522.61,0.113670
523.10,0.115064
523.58,0.116451
524.06,0.117781
524.54,0.119068
525.03,0.120374
525.51,0.121766
525.99,0.123264
526.47,0.124816
526.95,0.126326
527.44,0.127708
527.92,0.128952
528.40,0.130128
528.88,0.131358
529.36,0.132754
529.85,0.134374
530.33,0.136200
530.81,0.138153
531.29,0.140133
531.77,0.142077
532.26,0.143977
532.74,0.145879
533.22,0.147832
533.70,0.149849
534.19,0.151894
534.67,0.153899
535.15,0.155815
