波数(cm-1),吸光度
399.67,0.000000
400.16,0.092532
400.64,0.103477
401.12,0.106794
401.60,0.102870
402.09,0.093790
402.57,0.082214
403.05,0.070550
403.53,0.060524
404.01,0.053289
404.50,0.049266
404.98,0.048319
405.46,0.049985
405.94,0.053672
406.42,0.058709
406.91,0.064225
407.39,0.069224
407.87,0.072690
408.35,0.073918
408.83,0.072894
409.32,0.070332
409.80,0.067539
410.28,0.065927
410.76,0.066733
411.25,0.070500
411.73,0.076800
412.21,0.084243
412.69,0.090960
413.17,0.095350
413.66,0.096303
414.14,0.093454
414.62,0.087077
415.10,0.078103
415.58,0.068018
416.07,0.058708
416.55,0.052408
417.03,0.051160
417.51,0.056450
418.00,0.068306
418.48,0.084259
418.96,0.098809
419.44,0.105802
419.92,0.103096
420.41,0.093425
420.89,0.081446
421.37,0.070608
421.85,0.062773
422.33,0.058370
422.82,0.056807
423.30,0.056817
423.78,0.056900
424.26,0.056034
424.74,0.054063
425.23,0.051748
425.71,0.050221
426.19,0.050491
426.67,0.052899
427.16,0.057016
427.64,0.061772
428.12,0.065955
428.60,0.068657
429.08,0.069527
429.57,0.068782
430.05,0.066954
430.53,0.064619
431.01,0.062140
431.49,0.059659
431.98,0.057205
432.46,0.054878
432.94,0.053034
433.42,0.052289
433.90,0.053339
434.39,0.056758
434.87,0.062601
435.35,0.070231
435.83,0.078344
436.32,0.085493
436.80,0.090665
437.28,0.093558
437.76,0.094606
438.24,0.094659
438.73,0.094652
439.21,0.095194
439.69,0.096428
440.17,0.097973
440.65,0.099093
441.14,0.098867
441.62,0.096513
442.10,0.091789
442.58,0.085260
443.07,0.078340
443.55,0.072755
444.03,0.070095
444.51,0.071220
444.99,0.076083
445.48,0.083781
445.96,0.092718
446.44,0.101000
446.92,0.106677
447.40,0.108439
447.89,0.105911
448.37,0.099676
448.85,0.091022
449.33,0.081601
449.81,0.073219
450.30,0.067371
450.78,0.065104
451.26,0.066773
451.74,0.071952
452.23,0.079510
452.71,0.087872
453.19,0.095560
453.67,0.101428
454.15,0.104985
454.64,0.106364
455.12,0.106069
455.60,0.104665
456.08,0.102499
456.56,0.099654
457.05,0.096011
457.53,0.091524
458.01,0.086535
458.49,0.081854
458.98,0.078466
459.46,0.077155
459.94,0.078164
460.42,0.081213
460.90,0.085598
461.39,0.090420
461.87,0.094769
462.35,0.097985
462.83,0.099921
463.31,0.100945
463.80,0.101787
464.28,0.103173
464.76,0.105606
465.24,0.109140
465.72,0.113384
466.21,0.117595
466.69,0.120916
467.17,0.122670
467.65,0.122467
468.14,0.120350
468.62,0.116731
469.10,0.112319
469.58,0.107879
470.06,0.104068
470.55,0.101353
471.03,0.099899
471.51,0.099586
471.99,0.100015
472.47,0.100637
472.96,0.100890
473.44,0.100451
473.92,0.099377
474.40,0.098031
474.88,0.096880
475.37,0.096266
475.85,0.096344
476.33,0.097033
476.81,0.098069
477.30,0.099073
477.78,0.099692
478.26,0.099728
478.74,0.099157
479.22,0.098092
479.71,0.096688
480.19,0.095062
480.67,0.093247
481.15,0.091212
481.63,0.088919
482.12,0.086387
482.60,0.083750
483.08,0.081284
483.56,0.079347
484.05,0.078332
484.53,0.078551
485.01,0.080100
485.49,0.082830
485.97,0.086364
486.46,0.090243
486.94,0.093999
487.42,0.097276
487.90,0.099888
488.38,0.101813
488.87,0.103195
489.35,0.104285
489.83,0.105381
490.31,0.106719
490.79,0.108419
491.28,0.110462
491.76,0.112712
492.24,0.114962
492.72,0.116988
493.21,0.118621
493.69,0.119745
494.17,0.120286
494.65,0.120181
495.13,0.119373
495.62,0.117837
496.10,0.115645
496.58,0.113019
497.06,0.110333
497.54,0.108008
498.03,0.106434
498.51,0.105832
498.99,0.106213
499.47,0.107415
499.95,0.109183
500.44,0.111265
500.92,0.113439
501.40,0.115537
501.88,0.117407
502.37,0.118855
502.85,0.119646
503.33,0.119549
503.81,0.118407
504.29,0.116219
504.78,0.113153
505.26,0.109528
505.74,0.105717
506.22,0.102111
506.70,0.099052
507.19,0.096775
507.67,0.095426
508.15,0.095071
508.63,0.095728
509.12,0.097395
509.60,0.100045
510.08,0.103585
510.56,0.107807
511.04,0.112380
511.53,0.116904
512.01,0.120971
512.49,0.124317
512.97,0.126862
513.45,0.128689
513.94,0.129955
514.42,0.130806
514.90,0.131334
515.38,0.131567
515.86,0.131530
516.35,0.131309
516.83,0.131069
517.31,0.131056
517.79,0.131522
518.28,0.132633
518.76,0.134433
519.24,0.136815
519.72,0.139567
520.20,0.142393
520.69,0.144982
521.17,0.147061
521.65,0.148391
522.13,0.148834
522.61,0.148383
523.10,0.147201
523.58,0.145608
524.06,0.144036
524.54,0.142956
525.03,0.142712
525.51,0.143442
525.99,0.145038
526.47,0.147224
526.95,0.149696
527.44,0.152275
527.92,0.154958
528.40,0.157841
528.88,0.160968
529.36,0.164232
529.85,0.167326
530.33,0.169852
530.81,0.171522
531.29,0.172321
531.77,0.172617
532.26,0.173028
532.74,0.174235
533.22,0.176648
533.70,0.180244
534.19,0.184538
534.67,0.188777
535.15,0.192216
535.63,0.194392
536.11,0.195326
536.60,0.195454
537.08,0.195439
537.56,0.195860
538.04,0.197084
538.52,0.199184
539.01,0.202020
539.49,0.205353
539.97,0.208977
540.45,0.212771
540.93,0.216660
541.42,0.220561
541.90,0.224361
542.38,0.227924
542.86,0.231186
543.35,0.234224
543.83,0.237277
544.31,0.240678
544.79,0.244742
545.27,0.249677
545.76,0.255500
546.24,0.262078
546.72,0.269211
547.20,0.276752
547.68,0.284640
548.17,0.292854
548.65,0.301299
549.13,0.309697
