波数(cm-1),吸光度
399.67,0.000000
400.16,0.242847
400.64,0.260659
401.12,0.267344
401.60,0.263710
402.09,0.252198
402.57,0.235385
403.05,0.215369
403.53,0.193795
404.01,0.172377
404.50,0.152854
404.98,0.136813
405.46,0.125590
405.94,0.119878
406.42,0.119774
406.91,0.124752
407.39,0.133723
407.87,0.145141
408.35,0.157345
408.83,0.169159
409.32,0.179997
409.80,0.189608
410.28,0.197593
410.76,0.202963
411.25,0.204239
411.73,0.200253
412.21,0.190892
412.69,0.177583
413.17,0.162670
413.66,0.148812
414.14,0.138166
414.62,0.132084
415.10,0.131200
415.58,0.135286
416.07,0.143428
416.55,0.154131
417.03,0.165790
417.51,0.176738
418.00,0.185046
418.48,0.188664
418.96,0.186044
419.44,0.177671
419.92,0.166289
420.41,0.155165
420.89,0.146152
421.37,0.139506
421.85,0.134772
422.33,0.131416
422.82,0.129135
423.30,0.127976
423.78,0.128251
424.26,0.130299
424.74,0.134272
425.23,0.139935
425.71,0.146665
426.19,0.153485
426.67,0.159356
427.16,0.163492
427.64,0.165617
428.12,0.166097
428.60,0.165713
429.08,0.165357
429.57,0.165689
430.05,0.167081
430.53,0.169639
431.01,0.173321
431.49,0.178064
431.98,0.183848
432.46,0.190604
432.94,0.198057
433.42,0.205571
433.90,0.212227
434.39,0.216884
434.87,0.218657
435.35,0.217339
435.83,0.213613
436.32,0.208793
436.80,0.204154
437.28,0.200390
437.76,0.197244
438.24,0.193789
438.73,0.188990
439.21,0.182453
439.69,0.174694
440.17,0.167002
440.65,0.160820
441.14,0.157344
441.62,0.157084
442.10,0.159666
442.58,0.163885
443.07,0.168164
443.55,0.171327
444.03,0.172973
444.51,0.173555
444.99,0.173896
445.48,0.174764
445.96,0.176458
446.44,0.178723
446.92,0.180868
447.40,0.182147
447.89,0.182114
448.37,0.180751
448.85,0.178397
449.33,0.175530
449.81,0.172587
450.30,0.169833
450.78,0.167383
451.26,0.165240
451.74,0.163352
452.23,0.161656
452.71,0.160101
453.19,0.158679
453.67,0.157465
454.15,0.156645
454.64,0.156495
455.12,0.157373
455.60,0.159622
456.08,0.163458
456.56,0.168844
457.05,0.175353
457.53,0.182218
458.01,0.188546
458.49,0.193852
458.98,0.198312
459.46,0.202622
459.94,0.207463
460.42,0.213125
460.90,0.219313
461.39,0.225228
461.87,0.229781
462.35,0.231998
462.83,0.231466
463.31,0.228361
463.80,0.223273
464.28,0.216845
464.76,0.209643
465.24,0.202148
465.72,0.194845
466.21,0.188416
466.69,0.183676
467.17,0.181357
467.65,0.181896
468.14,0.185130
468.62,0.190269
469.10,0.195984
469.58,0.200899
470.06,0.204015
470.55,0.204965
471.03,0.204082
471.51,0.202163
471.99,0.200141
472.47,0.198644
472.96,0.197814
473.44,0.197301
473.92,0.196592
474.40,0.195290
474.88,0.193319
475.37,0.190889
475.85,0.188407
476.33,0.186371
476.81,0.185248
477.30,0.185451
477.78,0.187202
478.26,0.190465
478.74,0.194908
479.22,0.199927
479.71,0.204725
480.19,0.208336
480.67,0.209900
481.15,0.208899
481.63,0.205409
482.12,0.200203
482.60,0.194632
483.08,0.190342
483.56,0.188716
484.05,0.190608
484.53,0.196024
485.01,0.204124
485.49,0.213407
485.97,0.222175
486.46,0.229112
486.94,0.233397
487.42,0.234844
487.90,0.233777
488.38,0.230893
488.87,0.227063
489.35,0.223120
489.83,0.219766
490.31,0.217390
490.79,0.216066
491.28,0.215620
491.76,0.215748
492.24,0.216156
492.72,0.216663
493.21,0.217262
493.69,0.218072
494.17,0.219228
494.65,0.220790
495.13,0.222711
495.62,0.224875
496.10,0.227182
496.58,0.229606
497.06,0.232215
497.54,0.235098
498.03,0.238265
498.51,0.241540
498.99,0.244576
499.47,0.246911
499.95,0.248175
500.44,0.248265
500.92,0.247453
501.40,0.246340
501.88,0.245616
502.37,0.245798
502.85,0.246938
503.33,0.248615
503.81,0.250122
504.29,0.250856
504.78,0.250530
505.26,0.249272
505.74,0.247487
506.22,0.245685
506.70,0.244281
507.19,0.243460
507.67,0.243193
508.15,0.243317
508.63,0.243683
509.12,0.244227
509.60,0.244990
510.08,0.246034
510.56,0.247354
511.04,0.248833
511.53,0.250279
512.01,0.251492
512.49,0.252372
512.97,0.252934
513.45,0.253279
513.94,0.253510
514.42,0.253700
514.90,0.253895
515.38,0.254175
515.86,0.254722
516.35,0.255844
516.83,0.257865
517.31,0.260995
517.79,0.265152
518.28,0.269929
518.76,0.274651
519.24,0.278651
519.72,0.281569
520.20,0.283470
520.69,0.284782
521.17,0.286021
521.65,0.287579
522.13,0.289546
522.61,0.291746
523.10,0.293860
523.58,0.295655
524.06,0.297120
524.54,0.298498
525.03,0.300125
525.51,0.302220
525.99,0.304691
526.47,0.307141
526.95,0.309044
527.44,0.310040
527.92,0.310153
528.40,0.309782
528.88,0.309509
529.36,0.309802
529.85,0.310870
530.33,0.312581
530.81,0.314591
531.29,0.316507
531.77,0.318116
532.26,0.319450
532.74,0.320712
533.22,0.322095
533.70,0.323627
534.19,0.325115
534.67,0.326234
535.15,0.326703
535.63,0.326452
536.11,0.325676
536.60,0.324754
537.08,0.324078
537.56,0.323900
538.04,0.324334
538.52,0.325437
539.01,0.327313
539.49,0.330200
539.97,0.334404
540.45,0.340115
540.93,0.347218
541.42,0.355137
541.90,0.362953
542.38,0.369580
542.86,0.374259
543.35,0.376889
543.83,0.378095
544.31,0.378937
544.79,0.380478
545.27,0.383435
545.76,0.387889
546.24,0.393333
546.72,0.398900
547.20,0.403833
547.68,0.407761
548.17,0.410826
548.65,0.413474
549.13,0.416201
549.61,0.419282
550.10,0.422677
550.58,0.426114
551.06,0.429271
551.54,0.431977
552.02,0.434273
552.51,0.436389
552.99,0.438618
553.47,0.441234
553.95,0.444411
554.43,0.448206
554.92,0.452564
555.40,0.457306
555.88,0.462103
556.36,0.466431
556.84,0.469662
557.33,0.471181
557.81,0.470585
558.29,0.467899
558.77,0.463612
559.26,0.458546
559.74,0.453509
560.22,0.449106
560.70,0.445555
561.18,0.442710
561.67,0.440211
562.15,0.437699
562.63,0.435001
563.11,0.432154
563.59,0.429342
564.08,0.426746
564.56,0.424445
565.04,0.422357
565.52,0.420291
566.00,0.418015
566.49,0.415342
566.97,0.412153
567.45,0.408363
567.93,0.403907
568.42,0.398723
568.90,0.392801
569.38,0.386243
569.86,0.379293
570.34,0.372309
570.83,0.365640
571.31,0.359558
571.79,0.354180
572.27,0.349484
572.75,0.345392
573.24,0.341857
573.72,0.338920
574.20,0.336696
574.68,0.335283
575.17,0.334649
575.65,0.334531
576.13,0.334456
576.61,0.333883
577.09,0.332371
577.58,0.329812
578.06,0.326438
578.54,0.322732
579.02,0.319174
579.50,0.316100
579.99,0.313579
580.47,0.311417
580.95,0.309253
581.43,0.306723
581.91,0.303652
582.40,0.300110
582.88,0.296396
583.36,0.292894
583.84,0.289989
584.33,0.287941
584.81,0.286840
585.29,0.286616
585.77,0.287073
586.25,0.287958
586.74,0.289006
587.22,0.290011
587.70,0.290847
588.18,0.291459
588.66,0.291860
589.15,0.292090
589.63,0.292184
590.11,0.292145
590.59,0.291933
591.08,0.291493
591.56,0.290809
592.04,0.289959
592.52,0.289141
593.00,0.288611
593.49,0.288617
593.97,0.289289
594.45,0.290574
594.93,0.292244
595.41,0.293976
595.90,0.295490
596.38,0.296653
596.86,0.297561
597.34,0.298499
597.82,0.299823
598.31,0.301761
598.79,0.304283
599.27,0.307030
599.75,0.309409
600.24,0.310739
600.72,0.310446
601.20,0.308287
601.68,0.304379
602.16,0.299142
602.65,0.293110
603.13,0.286837
603.61,0.280783
604.09,0.275251
604.57,0.270425
605.06,0.266343
605.54,0.262915
606.02,0.259938
606.50,0.257151
606.98,0.254312
607.47,0.251239
607.95,0.247881
608.43,0.244300
608.91,0.240626
609.40,0.236963
609.88,0.233324
610.36,0.229599
610.84,0.225614
611.32,0.221209
611.81,0.216332
612.29,0.211088
612.77,0.205720
613.25,0.200531
613.73,0.195752
614.22,0.191499
614.70,0.187742
615.18,0.184355
615.66,0.181183
616.15,0.178124
616.63,0.175159
617.11,0.172337
617.59,0.169714
618.07,0.167301
618.56,0.165038
619.04,0.162815
619.52,0.160519
620.00,0.158080
620.48,0.155499
620.97,0.152841
621.45,0.150197
621.93,0.147643
622.41,0.145227
622.89,0.142969
623.38,0.140883
623.86,0.139009
624.34,0.137414
624.82,0.136168
625.31,0.135322
625.79,0.134859
626.27,0.134699
626.75,0.134704
627.23,0.134737
627.72,0.134710
628.20,0.134603
628.68,0.134462
629.16,0.134361
629.64,0.134363
630.13,0.134480
630.61,0.134672
631.09,0.134856
631.57,0.134948
632.05,0.134890
