波数(cm-1),吸光度
399.67,0.000000
400.16,0.181876
400.64,0.148658
401.12,0.115726
401.60,0.086975
402.09,0.064687
402.57,0.050021
403.05,0.042789
403.53,0.041747
404.01,0.044714
404.50,0.049264
404.98,0.053539
405.46,0.056699
405.94,0.059034
406.42,0.061445
406.91,0.064966
407.39,0.070285
407.87,0.077636
408.35,0.086830
408.83,0.097436
409.32,0.108948
409.80,0.120832
410.28,0.132527
410.76,0.143247
411.25,0.152003
411.73,0.157890
412.21,0.160326
412.69,0.159416
413.17,0.155887
413.66,0.150899
414.14,0.145625
414.62,0.140954
415.10,0.137458
415.58,0.135277
416.07,0.134147
416.55,0.133388
417.03,0.131968
417.51,0.128534
418.00,0.121694
418.48,0.111017
418.96,0.098256
419.44,0.087163
419.92,0.080709
420.41,0.079277
420.89,0.081271
421.37,0.084772
421.85,0.088199
422.33,0.090573
422.82,0.091655
423.30,0.092017
423.78,0.093025
424.26,0.096281
424.74,0.103072
425.23,0.113647
425.71,0.127126
426.19,0.141693
426.67,0.155201
427.16,0.165797
427.64,0.172299
428.12,0.174544
428.60,0.173125
429.08,0.169067
429.57,0.163397
430.05,0.157043
430.53,0.150772
431.01,0.145123
431.49,0.140411
431.98,0.136615
432.46,0.133355
432.94,0.129865
433.42,0.125102
433.90,0.118032
434.39,0.107898
434.87,0.094789
435.35,0.079918
435.83,0.065691
436.32,0.054920
436.80,0.049864
437.28,0.051599
437.76,0.059475
438.24,0.071341
438.73,0.084041
439.21,0.094655
439.69,0.101209
440.17,0.103123
440.65,0.101174
441.14,0.097155
441.62,0.093467
442.10,0.092332
442.58,0.095300
443.07,0.102508
443.55,0.112722
444.03,0.123898
444.51,0.134093
444.99,0.142048
445.48,0.147089
445.96,0.149080
446.44,0.148240
446.92,0.145065
447.40,0.140224
447.89,0.134435
448.37,0.128403
448.85,0.122664
449.33,0.117591
449.81,0.113463
450.30,0.110473
450.78,0.108813
451.26,0.108688
451.74,0.110280
452.23,0.113670
452.71,0.118707
453.19,0.124947
453.67,0.131631
454.15,0.137868
454.64,0.142912
455.12,0.146218
455.60,0.147510
456.08,0.146732
456.56,0.144043
457.05,0.139878
457.53,0.134974
458.01,0.130317
458.49,0.126734
458.98,0.124585
459.46,0.123767
459.94,0.123945
460.42,0.124804
460.90,0.126148
461.39,0.127916
461.87,0.130103
462.35,0.132687
462.83,0.135587
463.31,0.138659
463.80,0.141729
464.28,0.144658
464.76,0.147350
465.24,0.149769
465.72,0.151930
466.21,0.153862
466.69,0.155560
467.17,0.156963
467.65,0.157936
468.14,0.158310
468.62,0.157957
469.10,0.156839
469.58,0.155065
470.06,0.152876
470.55,0.150635
471.03,0.148728
471.51,0.147522
471.99,0.147286
472.47,0.148079
472.96,0.149686
473.44,0.151634
473.92,0.153366
474.40,0.154355
474.88,0.154226
475.37,0.152832
475.85,0.150243
476.33,0.146813
476.81,0.143124
477.30,0.139940
477.78,0.137916
478.26,0.137331
478.74,0.138002
479.22,0.139350
479.71,0.140653
480.19,0.141248
480.67,0.140814
481.15,0.139475
481.63,0.137810
482.12,0.136608
482.60,0.136614
483.08,0.138250
483.56,0.141447
484.05,0.145676
484.53,0.150078
485.01,0.153797
485.49,0.156157
485.97,0.156892
486.46,0.156163
486.94,0.154462
487.42,0.152452
487.90,0.150783
488.38,0.150053
488.87,0.150644
489.35,0.152647
489.83,0.155829
490.31,0.159659
490.79,0.163443
491.28,0.166435
491.76,0.168105
492.24,0.168286
492.72,0.167252
493.21,0.165574
493.69,0.163878
494.17,0.162558
494.65,0.161612
495.13,0.160701
495.62,0.159338
496.10,0.157166
496.58,0.154115
497.06,0.150485
497.54,0.146782
498.03,0.143541
498.51,0.141079
498.99,0.139408
499.47,0.138295
499.95,0.137435
500.44,0.136659
500.92,0.136064
501.40,0.136004
501.88,0.136922
502.37,0.139120
502.85,0.142572
503.33,0.146946
503.81,0.151770
504.29,0.156664
504.78,0.161437
505.26,0.166063
505.74,0.170563
506.22,0.174833
506.70,0.178556
507.19,0.181292
507.67,0.182647
508.15,0.182560
508.63,0.181404
509.12,0.179936
509.60,0.179012
510.08,0.179265
510.56,0.180943
511.04,0.183775
511.53,0.187086
512.01,0.189977
512.49,0.191701
512.97,0.191881
513.45,0.190541
513.94,0.187989
514.42,0.184634
514.90,0.180876
515.38,0.177016
515.86,0.173337
516.35,0.170152
516.83,0.167795
517.31,0.166586
517.79,0.166695
518.28,0.168044
518.76,0.170293
519.24,0.172937
519.72,0.175519
520.20,0.177750
520.69,0.179639
521.17,0.181434
521.65,0.183533
522.13,0.186297
522.61,0.189917
523.10,0.194354
523.58,0.199330
524.06,0.204400
524.54,0.209009
525.03,0.212654
525.51,0.214950
525.99,0.215730
526.47,0.215102
526.95,0.213452
527.44,0.211375
527.92,0.209467
528.40,0.208244
528.88,0.208006
529.36,0.208790
529.85,0.210412
530.33,0.212531
530.81,0.214798
531.29,0.216950
531.77,0.218937
532.26,0.220902
532.74,0.223103
533.22,0.225735
533.70,0.228808
534.19,0.232081
534.67,0.235134
535.15,0.237534
535.63,0.239002
536.11,0.239546
536.60,0.239420
537.08,0.239005
537.56,0.238619
538.04,0.238422
538.52,0.238371
539.01,0.238283
539.49,0.237926
539.97,0.237150
540.45,0.235956
540.93,0.234503
541.42,0.233066
541.90,0.231940
542.38,0.231391
542.86,0.231565
543.35,0.232459
543.83,0.233929
544.31,0.235735
544.79,0.237617
545.27,0.239347
545.76,0.240829
546.24,0.242115
546.72,0.243387
547.20,0.244850
547.68,0.246632
548.17,0.248688
548.65,0.250805
549.13,0.252638
549.61,0.253857
550.10,0.254301
550.58,0.254051
551.06,0.253430
551.54,0.252834
552.02,0.252602
552.51,0.252847
552.99,0.253448
553.47,0.254123
553.95,0.254594
554.43,0.254741
554.92,0.254665
