波数(cm-1),吸光度
399.67,0.000000
400.16,0.105004
400.64,0.095192
401.12,0.090111
401.60,0.090152
402.09,0.094453
402.57,0.101503
403.05,0.109614
403.53,0.117289
404.01,0.123203
404.50,0.126558
404.98,0.127173
405.46,0.125411
405.94,0.121924
406.42,0.117375
406.91,0.112357
407.39,0.107440
407.87,0.103335
408.35,0.100897
408.83,0.100826
409.32,0.103512
409.80,0.108840
410.28,0.116204
410.76,0.124514
411.25,0.132470
411.73,0.139121
412.21,0.144333
412.69,0.148969
413.17,0.154239
413.66,0.160961
414.14,0.168868
414.62,0.176654
415.10,0.182208
415.58,0.183450
416.07,0.179040
416.55,0.168925
417.03,0.154526
417.51,0.138631
418.00,0.125296
418.48,0.118583
418.96,0.120674
419.44,0.129480
419.92,0.139796
420.41,0.147015
420.89,0.149820
421.37,0.149454
421.85,0.148036
422.33,0.147582
422.82,0.149460
423.30,0.154301
423.78,0.161702
424.26,0.170439
424.74,0.178823
425.23,0.185334
425.71,0.188907
426.19,0.188830
426.67,0.184875
427.16,0.177382
427.64,0.167407
428.12,0.156555
428.60,0.146683
429.08,0.139554
429.57,0.136333
430.05,0.137543
430.53,0.142891
431.01,0.151353
431.49,0.161346
431.98,0.171234
432.46,0.179938
432.94,0.187051
433.42,0.192768
433.90,0.197508
434.39,0.201600
434.87,0.205072
435.35,0.207669
435.83,0.209014
436.32,0.208844
436.80,0.207159
437.28,0.204247
437.76,0.200607
438.24,0.196841
438.73,0.193598
439.21,0.191424
439.69,0.190716
440.17,0.191663
440.65,0.194186
441.14,0.197891
441.62,0.202023
442.10,0.205592
442.58,0.207496
443.07,0.206913
443.55,0.203635
444.03,0.198083
444.51,0.191120
444.99,0.183714
445.48,0.176895
445.96,0.171630
446.44,0.168745
446.92,0.168901
447.40,0.172334
447.89,0.178780
448.37,0.187415
448.85,0.197017
449.33,0.206152
449.81,0.213388
450.30,0.217791
450.78,0.219144
451.26,0.218072
451.74,0.215726
452.23,0.213433
452.71,0.212172
453.19,0.212225
453.67,0.213201
454.15,0.214303
454.64,0.214820
455.12,0.214400
455.60,0.213195
456.08,0.211713
456.56,0.210667
457.05,0.210683
457.53,0.212046
458.01,0.214506
458.49,0.217317
458.98,0.219554
459.46,0.220452
459.94,0.219684
460.42,0.217327
460.90,0.213831
461.39,0.209940
461.87,0.206644
462.35,0.204990
462.83,0.205677
463.31,0.208828
463.80,0.213791
464.28,0.219338
464.76,0.223833
465.24,0.225749
465.72,0.224244
466.21,0.219442
466.69,0.212552
467.17,0.205362
467.65,0.199770
468.14,0.197006
468.62,0.197348
469.10,0.200187
469.58,0.204389
470.06,0.208759
470.55,0.212311
471.03,0.214536
471.51,0.215327
471.99,0.214868
472.47,0.213486
472.96,0.211568
473.44,0.209491
473.92,0.207548
474.40,0.205956
474.88,0.204835
475.37,0.204207
475.85,0.204025
476.33,0.204196
476.81,0.204636
477.30,0.205312
477.78,0.206265
478.26,0.207579
478.74,0.209310
479.22,0.211382
479.71,0.213562
480.19,0.215467
480.67,0.216714
481.15,0.217078
481.63,0.216628
482.12,0.215761
482.60,0.215105
483.08,0.215352
483.56,0.216994
484.05,0.220212
484.53,0.224788
485.01,0.230199
485.49,0.235736
485.97,0.240711
486.46,0.244635
486.94,0.247186
487.42,0.248232
487.90,0.247805
488.38,0.246122
488.87,0.243596
489.35,0.240761
489.83,0.238199
490.31,0.236333
490.79,0.235322
491.28,0.235059
491.76,0.235265
492.24,0.235670
492.72,0.236205
493.21,0.237103
493.69,0.238858
494.17,0.242027
494.65,0.246932
495.13,0.253475
495.62,0.261013
496.10,0.268511
496.58,0.274687
497.06,0.278437
497.54,0.279214
498.03,0.277088
498.51,0.272688
498.99,0.266886
499.47,0.260688
499.95,0.255019
500.44,0.250640
500.92,0.248173
501.40,0.247932
501.88,0.249858
502.37,0.253460
502.85,0.257953
503.33,0.262466
503.81,0.266278
504.29,0.269039
504.78,0.270720
505.26,0.271496
505.74,0.271548
506.22,0.270957
506.70,0.269689
507.19,0.267701
507.67,0.265105
508.15,0.262269
508.63,0.259727
509.12,0.258055
509.60,0.257640
510.08,0.258576
510.56,0.260688
511.04,0.263627
511.53,0.267043
512.01,0.270710
512.49,0.274622
512.97,0.278925
513.45,0.283753
513.94,0.289052
514.42,0.294486
514.90,0.299463
515.38,0.303377
515.86,0.305816
516.35,0.306816
516.83,0.306852
517.31,0.306674
517.79,0.306948
518.28,0.307947
518.76,0.309540
519.24,0.311321
519.72,0.312893
520.20,0.314019
520.69,0.314689
521.17,0.314994
521.65,0.314994
522.13,0.314632
522.61,0.313804
523.10,0.312490
523.58,0.310907
524.06,0.309539
524.54,0.309069
525.03,0.310076
525.51,0.312806
525.99,0.316967
526.47,0.321832
526.95,0.326489
527.44,0.330281
527.92,0.333099
528.40,0.335311
528.88,0.337460
529.36,0.339869
529.85,0.342440
530.33,0.344639
530.81,0.345787
531.29,0.345392
531.77,0.343540
532.26,0.340927
532.74,0.338700
533.22,0.337975
533.70,0.339458
534.19,0.343266
534.67,0.348902
535.15,0.355463
535.63,0.361902
536.11,0.367416
536.60,0.371535
537.08,0.374125
537.56,0.375279
538.04,0.375214
538.52,0.374256
539.01,0.372817
539.49,0.371448
539.97,0.370749
540.45,0.371195
540.93,0.373058
541.42,0.376294
541.90,0.380608
542.38,0.385575
542.86,0.390878
543.35,0.396443
543.83,0.402428
544.31,0.409060
544.79,0.416385
545.27,0.424046
545.76,0.431295
546.24,0.437182
546.72,0.440928
547.20,0.442359
547.68,0.442017
548.17,0.440996
548.65,0.440422
549.13,0.441149
549.61,0.443456
550.10,0.447058
550.58,0.451285
551.06,0.455403
551.54,0.458926
552.02,0.461695
552.51,0.463866
552.99,0.465734
553.47,0.467605
553.95,0.469675
554.43,0.472021
554.92,0.474644
555.40,0.477492
555.88,0.480478
556.36,0.483456
556.84,0.486227
557.33,0.488566
557.81,0.490285
558.29,0.491307
558.77,0.491677
559.26,0.491500
559.74,0.490829
560.22,0.489586
560.70,0.487547
561.18,0.484457
561.67,0.480142
562.15,0.474649
562.63,0.468249
563.11,0.461396
563.59,0.454560
564.08,0.448100
564.56,0.442244
565.04,0.437069
565.52,0.432568
566.00,0.428707
566.49,0.425429
566.97,0.422620
567.45,0.420059
567.93,0.417434
568.42,0.414390
568.90,0.410648
569.38,0.406155
569.86,0.401119
570.34,0.395947
570.83,0.391048
571.31,0.386698
571.79,0.382910
572.27,0.379469
572.75,0.376026
573.24,0.372280
573.72,0.368113
574.20,0.363625
574.68,0.359089
575.17,0.354820
575.65,0.351074
576.13,0.347955
576.61,0.345410
577.09,0.343278
577.58,0.341380
578.06,0.339568
578.54,0.337726
579.02,0.335771
579.50,0.333622
579.99,0.331217
580.47,0.328547
580.95,0.325693
581.43,0.322827
