波数(cm-1),吸光度
399.67,0.000000
400.16,0.035134
400.64,0.045834
401.12,0.054306
401.60,0.057256
402.09,0.053328
402.57,0.042898
403.05,0.027785
403.53,0.010586
404.01,-0.005460
404.50,-0.017427
404.98,-0.023632
405.46,-0.024230
405.94,-0.021118
406.42,-0.016883
406.91,-0.013770
407.39,-0.012809
407.87,-0.013869
408.35,-0.015956
408.83,-0.017889
409.32,-0.018746
409.80,-0.018234
410.28,-0.016712
410.76,-0.015021
411.25,-0.014116
411.73,-0.014603
412.21,-0.016521
412.69,-0.019254
413.17,-0.021855
413.66,-0.023314
414.14,-0.022914
414.62,-0.020354
415.10,-0.015675
415.58,-0.009159
416.07,-0.001129
416.55,0.008123
417.03,0.018425
417.51,0.029551
418.00,0.040800
418.48,0.050698
418.96,0.057184
419.44,0.058976
419.92,0.056776
420.41,0.052625
420.89,0.048302
421.37,0.044540
421.85,0.041332
422.33,0.038262
422.82,0.034837
423.30,0.030704
423.78,0.025854
424.26,0.020620
424.74,0.015547
425.23,0.011106
425.71,0.007532
426.19,0.004856
426.67,0.003013
427.16,0.001977
427.64,0.001857
428.12,0.002879
428.60,0.005318
429.08,0.009392
429.57,0.015124
430.05,0.022216
430.53,0.029956
431.01,0.037376
431.49,0.043427
431.98,0.047400
432.46,0.049175
432.94,0.049153
433.42,0.048011
433.90,0.046364
434.39,0.044639
434.87,0.042977
435.35,0.041304
435.83,0.039460
436.32,0.037367
436.80,0.035116
437.28,0.032960
437.76,0.031197
438.24,0.030023
438.73,0.029400
439.21,0.029016
439.69,0.028344
440.17,0.026779
440.65,0.023902
441.14,0.019637
441.62,0.014427
442.10,0.009165
442.58,0.005057
443.07,0.003133
443.55,0.003758
444.03,0.006483
444.51,0.010243
444.99,0.013871
445.48,0.016383
445.96,0.017300
446.44,0.016679
446.92,0.014999
447.40,0.012908
447.89,0.010947
448.37,0.009451
448.85,0.008525
449.33,0.008203
449.81,0.008602
450.30,0.009947
450.78,0.012491
451.26,0.016305
451.74,0.021094
452.23,0.026090
452.71,0.030186
453.19,0.032405
453.67,0.032249
454.15,0.030025
454.64,0.026660
455.12,0.023432
455.60,0.021491
456.08,0.021502
456.56,0.023469
457.05,0.026575
457.53,0.029432
458.01,0.030577
458.49,0.029395
458.98,0.026374
459.46,0.022675
459.94,0.019388
460.42,0.017175
460.90,0.016270
461.39,0.016587
461.87,0.017938
462.35,0.020162
462.83,0.023201
463.31,0.027035
463.80,0.031555
464.28,0.036452
464.76,0.041148
465.24,0.044899
465.72,0.047051
466.21,0.047199
466.69,0.045365
467.17,0.041933
467.65,0.037514
468.14,0.032690
468.62,0.027862
469.10,0.023251
469.58,0.018931
470.06,0.014959
470.55,0.011481
471.03,0.008733
471.51,0.006982
471.99,0.006385
472.47,0.006841
472.96,0.007943
473.44,0.009114
473.92,0.009917
474.40,0.010204
474.88,0.010144
475.37,0.010057
475.85,0.010262
476.33,0.010925
476.81,0.011994
477.30,0.013220
477.78,0.014283
478.26,0.014963
478.74,0.015229
479.22,0.015256
479.71,0.015321
480.19,0.015705
480.67,0.016562
481.15,0.017884
481.63,0.019524
482.12,0.021290
482.60,0.023026
483.08,0.024663
483.56,0.026221
484.05,0.027749
484.53,0.029268
485.01,0.030721
485.49,0.031980
485.97,0.032883
486.46,0.033311
486.94,0.033212
487.42,0.032625
487.90,0.031658
488.38,0.030486
488.87,0.029309
489.35,0.028315
489.83,0.027646
490.31,0.027343
490.79,0.027332
491.28,0.027419
491.76,0.027356
492.24,0.026913
492.72,0.025957
493.21,0.024522
493.69,0.022790
494.17,0.021045
494.65,0.019564
495.13,0.018598
495.62,0.018343
496.10,0.018936
496.58,0.020478
497.06,0.023011
497.54,0.026494
498.03,0.030756
498.51,0.035471
498.99,0.040186
499.47,0.044299
499.95,0.047191
500.44,0.048363
500.92,0.047540
501.40,0.044816
501.88,0.040640
502.37,0.035749
502.85,0.030906
503.33,0.026739
503.81,0.023646
504.29,0.021761
504.78,0.021061
505.26,0.021442
505.74,0.022776
506.22,0.024877
506.70,0.027457
507.19,0.030140
507.67,0.032476
508.15,0.034110
508.63,0.034924
509.12,0.035100
509.60,0.035065
510.08,0.035308
510.56,0.036249
511.04,0.038044
511.53,0.040540
512.01,0.043305
512.49,0.045823
512.97,0.047685
513.45,0.048716
513.94,0.049017
514.42,0.048875
514.90,0.048669
515.38,0.048710
515.86,0.049188
516.35,0.050126
516.83,0.051411
517.31,0.052851
517.79,0.054249
518.28,0.055457
518.76,0.056363
519.24,0.056886
519.72,0.056978
520.20,0.056625
520.69,0.055866
521.17,0.054804
521.65,0.053604
522.13,0.052461
522.61,0.051561
523.10,0.051072
523.58,0.051102
524.06,0.051703
524.54,0.052864
525.03,0.054517
525.51,0.056526
525.99,0.058689
526.47,0.060778
526.95,0.062568
527.44,0.063905
527.92,0.064742
528.40,0.065129
528.88,0.065185
529.36,0.065041
529.85,0.064834
530.33,0.064693
530.81,0.064736
531.29,0.065096
531.77,0.065900
532.26,0.067244
532.74,0.069165
533.22,0.071597
533.70,0.074360
534.19,0.077156
534.67,0.079656
535.15,0.081594
535.63,0.082855
536.11,0.083535
536.60,0.083901
537.08,0.084294
537.56,0.084981
538.04,0.086089
538.52,0.087565
539.01,0.089227
539.49,0.090845
539.97,0.092255
540.45,0.093424
540.93,0.094449
541.42,0.095509
541.90,0.096780
542.38,0.098386
542.86,0.100353
543.35,0.102618
543.83,0.105049
544.31,0.107486
544.79,0.109772
545.27,0.111753
545.76,0.113309
546.24,0.114376
546.72,0.114961
547.20,0.115154
547.68,0.115117
548.17,0.115060
548.65,0.115181
549.13,0.115657
549.61,0.116609
550.10,0.118084
550.58,0.120058
551.06,0.122440
551.54,0.125101
552.02,0.127887
552.51,0.130652
552.99,0.133292
553.47,0.135752
553.95,0.138064
554.43,0.140337
554.92,0.142740
555.40,0.145432
555.88,0.148485
556.36,0.151822
556.84,0.155213
557.33,0.158309
557.81,0.160721
558.29,0.162165
558.77,0.162505
559.26,0.161785
559.74,0.160175
560.22,0.157916
560.70,0.155265
561.18,0.152458
561.67,0.149745
562.15,0.147384
562.63,0.145613
563.11,0.144622
563.59,0.144473
564.08,0.145056
564.56,0.146071
565.04,0.147097
565.52,0.147709
566.00,0.147564
566.49,0.146532
566.97,0.144696
567.45,0.142311
567.93,0.139686
568.42,0.137098
568.90,0.134723
569.38,0.132603
569.86,0.130685
570.34,0.128864
570.83,0.127042
571.31,0.125144
571.79,0.123126
572.27,0.120969
572.75,0.118675
573.24,0.116279
573.72,0.113852
574.20,0.111523
574.68,0.109450
575.17,0.107784
575.65,0.106622
576.13,0.105944
576.61,0.105602
577.09,0.105335
577.58,0.104872
578.06,0.104013
578.54,0.102695
579.02,0.101004
579.50,0.099140
579.99,0.097346
580.47,0.095804
580.95,0.094591
581.43,0.093641
581.91,0.092800
582.40,0.091898
582.88,0.090839
583.36,0.089655
583.84,0.088500
584.33,0.087590
584.81,0.087111
585.29,0.087152
585.77,0.087656
586.25,0.088446
586.74,0.089284
587.22,0.089966
587.70,0.090386
588.18,0.090548
588.66,0.090542
589.15,0.090482
589.63,0.090442
590.11,0.090418
590.59,0.090334
591.08,0.090083
591.56,0.089604
592.04,0.088928
592.52,0.088197
593.00,0.087610
593.49,0.087363
593.97,0.087567
594.45,0.088212
594.93,0.089177
595.41,0.090293
595.90,0.091412
596.38,0.092462
596.86,0.093486
597.34,0.094605
597.82,0.095970
598.31,0.097666
598.79,0.099654
599.27,0.101746
599.75,0.103644
600.24,0.105009
600.72,0.105541
601.20,0.105091
601.68,0.103671
602.16,0.101443
602.65,0.098647
603.13,0.095561
603.61,0.092452
604.09,0.089523
604.57,0.086935
605.06,0.084776
605.54,0.083068
606.02,0.081771
606.50,0.080795
606.98,0.080021
607.47,0.079306
607.95,0.078513
608.43,0.077527
608.91,0.076261
609.40,0.074681
609.88,0.072793
610.36,0.070655
610.84,0.068349
611.32,0.065982
611.81,0.063664
612.29,0.061474
612.77,0.059456
613.25,0.057603
613.73,0.055877
614.22,0.054229
614.70,0.052626
615.18,0.051074
615.66,0.049610
616.15,0.048288
616.63,0.047145
617.11,0.046190
617.59,0.045392
618.07,0.044700
618.56,0.044070
619.04,0.043486
619.52,0.042968
620.00,0.042552
620.48,0.042270
620.97,0.042118
621.45,0.042048
621.93,0.041988
622.41,0.041857
622.89,0.041605
623.38,0.041222
623.86,0.040739
624.34,0.040199
624.82,0.039623
625.31,0.038995
625.79,0.038250
626.27,0.037312
626.75,0.036122
627.23,0.034677
627.72,0.033040
628.20,0.031339
628.68,0.029717
629.16,0.028299
629.64,0.027169
630.13,0.026352
630.61,0.025825
631.09,0.025533
631.57,0.025414
632.05,0.025409
632.54,0.025466
633.02,0.025546
633.50,0.025613
633.98,0.025642
634.47,0.025624
634.95,0.025569
635.43,0.025511
635.91,0.025489
636.39,0.025540
636.88,0.025674
637.36,0.025878
637.84,0.026112
638.32,0.026324
638.80,0.026469
639.29,0.026511
639.77,0.026432
640.25,0.026225
640.73,0.025891
641.22,0.025437
641.70,0.024883
642.18,0.024275
642.66,0.023682
643.14,0.023196
643.63,0.022912
644.11,0.022888
644.59,0.023122
645.07,0.023535
645.55,0.023989
646.04,0.024313
646.52,0.024349
647.00,0.024017
647.48,0.023330
647.96,0.022405
648.45,0.021422
648.93,0.020593
649.41,0.020090
649.89,0.020008
650.38,0.020354
650.86,0.021047
651.34,0.021943
651.82,0.022861
652.30,0.023623
652.79,0.024076
653.27,0.024110
653.75,0.023682
654.23,0.022816
654.71,0.021605
655.20,0.020191
655.68,0.018749
656.16,0.017462
656.64,0.016476
657.13,0.015898
657.61,0.015777
658.09,0.016106
658.57,0.016821
659.05,0.017809
659.54,0.018929
660.02,0.020010
660.50,0.020896
660.98,0.021472
661.46,0.021686
661.95,0.021571
662.43,0.021234
662.91,0.020850
663.39,0.020592
663.87,0.020595
664.36,0.020917
664.84,0.021532
665.32,0.022348
665.80,0.023236
666.29,0.024068
666.77,0.024717
667.25,0.025087
667.73,0.025148
668.21,0.024980
668.70,0.024766
669.18,0.024668
669.66,0.024749
670.14,0.024954
670.62,0.025189
671.11,0.025362
671.59,0.025412
672.07,0.025304
672.55,0.025030
673.03,0.024613
673.52,0.024103
674.00,0.023573
674.48,0.023090
674.96,0.022702
