波数(cm-1),吸光度
399.67,0.000000
400.16,-0.052638
400.64,-0.028199
401.12,-0.006114
401.60,0.010965
402.09,0.023085
402.57,0.031298
403.05,0.036690
403.53,0.039881
404.01,0.041100
404.50,0.040585
404.98,0.038991
405.46,0.037559
405.94,0.037660
406.42,0.040187
406.91,0.044955
407.39,0.050522
407.87,0.054596
408.35,0.054985
408.83,0.050762
409.32,0.042524
409.80,0.032109
410.28,0.021667
410.76,0.013207
411.25,0.007964
411.73,0.006106
412.21,0.006861
412.69,0.009018
413.17,0.011642
413.66,0.014358
414.14,0.017352
414.62,0.021023
415.10,0.025678
415.58,0.031367
416.07,0.037980
416.55,0.045467
417.03,0.054123
417.51,0.064604
418.00,0.077503
418.48,0.092337
418.96,0.106621
419.44,0.116557
419.92,0.119846
420.41,0.117058
420.89,0.110559
421.37,0.102588
421.85,0.094670
422.33,0.087596
422.82,0.081659
423.30,0.077011
423.78,0.073786
424.26,0.072164
424.74,0.072356
425.23,0.074418
425.71,0.078098
426.19,0.082700
426.67,0.087180
427.16,0.090405
427.64,0.091479
428.12,0.090162
428.60,0.086887
429.08,0.082556
429.57,0.078104
430.05,0.074223
430.53,0.071172
431.01,0.068782
431.49,0.066682
431.98,0.064609
432.46,0.062629
432.94,0.061111
433.42,0.060528
433.90,0.061182
434.39,0.063049
434.87,0.065695
435.35,0.068445
435.83,0.070625
436.32,0.071930
436.80,0.072529
437.28,0.072924
437.76,0.073603
438.24,0.074763
438.73,0.076211
439.21,0.077482
439.69,0.078073
440.17,0.077698
440.65,0.076454
441.14,0.074814
441.62,0.073440
442.10,0.072829
442.58,0.073044
443.07,0.073599
443.55,0.073722
444.03,0.072663
444.51,0.070056
444.99,0.066026
445.48,0.061147
445.96,0.056265
446.44,0.052203
446.92,0.049572
447.40,0.048493
447.89,0.048639
448.37,0.049409
448.85,0.050253
449.33,0.050883
449.81,0.051347
450.30,0.051955
450.78,0.053113
451.26,0.055108
451.74,0.057913
452.23,0.061117
452.71,0.063975
453.19,0.065709
453.67,0.065751
454.15,0.064054
454.64,0.061095
455.12,0.057760
455.60,0.055057
456.08,0.053819
456.56,0.054600
457.05,0.057411
457.53,0.061648
458.01,0.066191
458.49,0.069990
458.98,0.072574
459.46,0.074156
459.94,0.075335
460.42,0.076760
460.90,0.078952
461.39,0.082181
461.87,0.086469
462.35,0.091573
462.83,0.097046
463.31,0.102265
463.80,0.106525
464.28,0.109187
464.76,0.109707
465.24,0.107827
465.72,0.103707
466.21,0.098028
466.69,0.091887
467.17,0.086439
467.65,0.082641
468.14,0.080854
468.62,0.080807
469.10,0.081745
469.58,0.082805
470.06,0.083327
470.55,0.083023
471.03,0.082036
471.51,0.080820
471.99,0.079964
472.47,0.079901
472.96,0.080728
473.44,0.082133
473.92,0.083590
474.40,0.084593
474.88,0.084854
475.37,0.084345
475.85,0.083222
476.33,0.081765
476.81,0.080302
477.30,0.079205
477.78,0.078787
478.26,0.079223
478.74,0.080505
479.22,0.082426
479.71,0.084628
480.19,0.086658
480.67,0.088100
481.15,0.088678
481.63,0.088311
482.12,0.087128
482.60,0.085396
483.08,0.083430
483.56,0.081478
484.05,0.079701
484.53,0.078152
485.01,0.076802
485.49,0.075563
485.97,0.074307
486.46,0.072895
486.94,0.071181
487.42,0.069064
487.90,0.066556
488.38,0.063849
488.87,0.061337
489.35,0.059529
489.83,0.058971
490.31,0.060025
490.79,0.062751
491.28,0.066835
491.76,0.071658
492.24,0.076436
492.72,0.080414
493.21,0.083153
493.69,0.084588
494.17,0.084976
494.65,0.084694
495.13,0.084098
495.62,0.083427
496.10,0.082798
496.58,0.082277
497.06,0.081932
497.54,0.081851
498.03,0.082130
498.51,0.082825
498.99,0.083925
499.47,0.085365
499.95,0.087061
500.44,0.088945
500.92,0.090974
501.40,0.093099
501.88,0.095214
502.37,0.097101
502.85,0.098474
503.33,0.099078
503.81,0.098815
504.29,0.097834
504.78,0.096514
505.26,0.095350
505.74,0.094741
506.22,0.094882
506.70,0.095659
507.19,0.096720
507.67,0.097602
508.15,0.097977
508.63,0.097804
509.12,0.097318
509.60,0.096880
510.08,0.096761
510.56,0.097046
511.04,0.097588
511.53,0.098136
512.01,0.098481
512.49,0.098623
