sample_name,xrd_mean_intensity,xrd_max_intensity,xrd_std_intensity,xrd_total_area,xrd_skewness,xrd_kurtosis,xrd_peak_count,xrd_peak1_position,xrd_peak1_height,xrd_peak2_position,xrd_peak2_height,xrd_peak3_position,xrd_peak3_height,xrd_crystallinity_index,xrd_fwhm,xrd_crystallite_size,ir_mean_absorbance,ir_max_absorbance,ir_std_absorbance,ir_total_area,ir_peak_count,ir_peak1_position,ir_peak1_height,ir_peak2_position,ir_peak2_height,ir_peak3_position,ir_peak3_height,ir_peak4_position,ir_peak4_height,ir_peak5_position,ir_peak5_height,ir_PO4磷酸根_max,ir_PO4磷酸根_area,ir_PO4磷酸根_mean,ir_CO3碳酸根_max,ir_CO3碳酸根_area,ir_CO3碳酸根_mean,ir_酰胺I_max,ir_酰胺I_area,ir_酰胺I_mean,ir_酰胺II_max,ir_酰胺II_area,ir_酰胺II_mean,ir_OH羟基_max,ir_OH羟基_area,ir_OH羟基_mean,ir_ratio_PO4_CO3,ir_ratio_amide1_amide2,sem_s_gray_mean,sem_s_gray_std,sem_s_gray_median,sem_s_gray_min,sem_s_gray_max,sem_s_gray_skewness,sem_s_gray_kurtosis,sem_s_glcm_contrast,sem_s_glcm_dissimilarity,sem_s_glcm_homogeneity,sem_s_glcm_energy,sem_s_glcm_correlation,sem_s_lbp_0,sem_s_lbp_1,sem_s_lbp_2,sem_s_lbp_3,sem_s_lbp_4,sem_s_lbp_5,sem_s_lbp_6,sem_s_lbp_7,sem_s_lbp_8,sem_s_lbp_9,sem_s_particle_count,sem_s_morph_mean_area,sem_s_morph_std_area,sem_s_morph_max_area,sem_s_morph_area_fraction,sem_s_morph_area_cv,sem_c_gray_mean,sem_c_gray_std,sem_c_gray_median,sem_c_gray_min,sem_c_gray_max,sem_c_gray_skewness,sem_c_gray_kurtosis,sem_c_glcm_contrast,sem_c_glcm_dissimilarity,sem_c_glcm_homogeneity,sem_c_glcm_energy,sem_c_glcm_correlation,sem_c_lbp_0,sem_c_lbp_1,sem_c_lbp_2,sem_c_lbp_3,sem_c_lbp_4,sem_c_lbp_5,sem_c_lbp_6,sem_c_lbp_7,sem_c_lbp_8,sem_c_lbp_9,sem_c_particle_count,sem_c_morph_mean_area,sem_c_morph_std_area,sem_c_morph_max_area,sem_c_morph_area_fraction,sem_c_morph_area_cv,label
000,44.966009711511,162.0,26.792169084222206,3147.040000000001,1.1111249677363866,0.643962427542264,482.0,32.0,130.0,20.04,76.0,20.24,76.0,0.5183899955805084,1.6999999999999993,55.10431784548749,0.010431301245146607,0.064274,0.012489666113748162,37.562245270000005,1,1017.27,0.064273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064274,8.881184399999999,0.029582834670947033,0.028805,4.041095759999999,0.020273949275362323,0.020812,1.626792109999999,0.011657437931034484,0.019947,1.5588502850000028,0.015616673076923077,0.01441,6.314921305,0.0090244717630854,2.19771688855005,1.0435845736141338,132.58350658416748,54.67278983592572,130.75,0.0,255.0,0.3379921898466169,0.6441314984411904,369.4510217485062,7.984368247636979,0.2571533054592478,0.05520139713941048,0.9340376735248308,0.05558395385740068,0.06905364990231741,0.05346488952634679,0.10604953765865095,0.17158222198479783,0.13155364990229357,0.07343673706051886,0.0780115127563179,0.13160133361811385,0.1296625137328607,482.0,281.91672352984006,4985.847665836944,107684.0,0.4879770278930664,18.552722006214335,139.68433227539063,57.65643266825024,144.4,0.0,255.0,0.1483865267192051,0.49447279470852157,399.438784744306,8.534704010020382,0.2646246887186729,0.058552599108984346,0.935412380875736,0.04515533447263902,0.05832290649411838,0.04878921508787202,0.1187591552733922,0.21408996582023082,0.14000396728510284,0.06870880126950504,0.06970291137692654,0.12531661987299908,0.11115112304683261,269.8,438.1003846267639,4710.218632881592,76135.0,0.4295463562011719,11.075866407016168,1
400,908.8940826330532,2958.0,663.1609108794684,68147.0862197935,1.2496328231469025,0.5646236784468006,815.0,32.14685943,1693.0,25.93623573,660.0,49.66265653,434.0,0.5412469525800039,2.324060030000002,40.37242023157544,0.041095846164145126,0.483224,0.06929802739974117,147.981041915,3,1014.86,0.478688,559.74,0.35681399999999996,1415.01,0.069524,0.0,0.0,0.0,0.0,0.483224,50.172704315,0.16709682182985555,0.082272,10.594605039999998,0.053136538647342996,0.022895,2.5699471399999982,0.01843419310344828,0.062555,3.519675295000008,0.03529898076923077,0.03259,17.48221258,0.0249836632231405,4.735684258693235,0.73016597401778,137.16952896118164,49.71478788591039,138.4,0.0,255.0,0.4414463080837619,1.5611345729285029,424.069940245657,10.002848612403195,0.21122710849185164,0.054074918372145064,0.9089811806466477,0.06394348144528811,0.07457885742184656,0.0586975097656026,0.10178298950191429,0.15383071899408193,0.12370681762690591,0.07342758178708136,0.07926712036129789,0.13373641967768338,0.13702850341791648,1109.2,286.22090011342925,3598.808553822765,67102.4,0.37502059936523435,18.2588667314102,127.38894748687744,54.86501292440889,112.75,0.0,255.0,0.481268685662818,0.540890125910715,338.23025134390946,6.580693142535923,0.2929880605433692,0.0626572179670821,0.9402256770186335,0.09118080139156678,0.08843517303463423,0.04866886138914159,0.06751251220700549,0.08902359008785665,0.08737945556637292,0.062484741210913665,0.09580707550045174,0.1797714233397752,0.18973636627190027,84.25,1403.8260128913444,11272.76536007842,99628.0,0.3856191635131836,8.382894698951501,2
919_001,1117.062850140056,3370.0,775.8393537373332,83755.755703901,1.0915406770422849,0.3271959263069939,815.0,32.04181717,1545.0,25.83119347,668.0,49.51822342,383.0,0.5389976819445333,2.9674438899999984,31.58277314986609,0.04373499437675726,0.338796,0.06323658900197206,157.48626403999998,4,559.74,0.338794,1015.34,0.270159,1411.64,0.09137400000000001,409.8,0.076281,0.0,0.0,0.335752,41.411950635,0.13794558105939006,0.103759,14.547478524999999,0.07299295652173914,0.078107,6.268701419999996,0.044906479310344825,0.071298,5.732028235000012,0.05742316826923077,0.039558,16.70408578,0.023870204545454545,2.8466754952642215,1.0936271007394964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.63578796386719,56.123814739907516,126.2,0.0,255.0,0.4602432491290468,1.169236301116501,358.2743522279555,7.573685493266803,0.2744240627697332,0.05793742395662127,0.9336006510278889,0.05994110107419589,0.0686950683593488,0.054895782470682185,0.10577621459956905,0.14815216064447473,0.12788238525385748,0.07540740966793999,0.07940139770504782,0.14371566772455452,0.13613281249994807,365.6,365.0323510952624,4302.194765292164,71830.6,0.4308586120605469,12.657515759236041,2
919_002,1141.794642857143,3378.0,796.8608623303556,85610.637910433,1.1057295469503958,0.31808475132947756,816.0,32.17312,1724.0,25.8837146,683.0,49.58387483,456.0,0.5399825436058286,2.901792480000001,32.34379169436332,0.06987760208863301,0.535809,0.09600787309125441,251.62373211500005,8,1012.45,0.535805,558.77,0.387849,1413.57,0.126512,3283.7,0.081288,1637.27,0.069945,0.535809,64.89842626999999,0.21618253290529693,0.147951,20.874668494999995,0.10476077777777777,0.132571,10.900373169999991,0.07810339655172414,0.104673,9.233174425000016,0.0924933701923077,0.081297,35.359729455,0.05052675757575757,3.108956019375579,1.1805661485702923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.9110206604004,48.408572436252726,137.0,0.0,255.0,0.31962522224904655,1.981719152159235,426.4831654183357,9.010712648018133,0.24036175327603632,0.0626012754877051,0.8951134956025006,0.06844253540036452,0.0756607055663774,0.05696258544919702,0.09704818725582234,0.1392089843749469,0.11421356201167518,0.07066268920895742,0.08360824584957746,0.14748229980463123,0.14671020507806903,69.2,1724.289763081811,12543.045458714545,97444.4,0.383367919921875,7.5176502301274155,3
919_003,1081.7447478991596,3297.0,771.9857865234724,81108.34932959001,1.079782676452022,0.19108230376111113,810.0,32.02868689,1211.0,25.85745403,460.0,46.72147321,293.0,0.5078672763155039,3.965345369999998,23.631401657995884,0.05463748319721516,0.341102,0.07043688049105125,196.74419422,8,559.26,0.34109900000000004,1020.16,0.235804,1538.92,0.220004,2919.7,0.186141,1466.6,0.12094300000000001,0.290173,39.34577794,0.1310692118780096,0.2462,22.354044894999994,0.11224917874396134,0.149839,8.765532549999982,0.06297404827586207,0.2462,12.742427055000023,0.12767480769230768,0.059508,23.095585399999997,0.03300149449035813,1.7601189460257638,0.6879013324671502,132.2239501953125,57.0865429415078,122.2,0.0,255.0,0.5250553081076244,0.47625241716002414,465.59271360115633,10.830493108243498,0.19204521200110947,0.052227602382401164,0.9217297565946885,0.0466735839843572,0.060804748535133055,0.06017913818357079,0.12418670654292137,0.20095367431632954,0.15137634277337977,0.07561874389645554,0.06630325317380284,0.11087265014644207,0.10303115844722632,544.4,278.4594168469641,3191.625507460451,55114.8,0.3419952392578125,13.043461622254279,131.63467407226562,61.67271123732908,128.0,0.0,255.0,0.3195070783162621,-0.554416819141972,411.6598107088753,8.374323686682652,0.2766947611901553,0.06267006736333794,0.9467345361276567,0.04876327514646577,0.06060600280759407,0.05364608764646391,0.11107254028316074,0.18451881408684367,0.14237976074213318,0.07336997985837045,0.07293224334714014,0.1346378326415502,0.11807346343989636,293.0,1035.7048267130801,9603.852410089636,113056.0,0.4775047302246094,13.852232078250237,4
919_004,1121.4487044817927,3485.0,806.7821026549163,84084.4788904415,1.1595502420980925,0.40906632114405284,817.0,32.00242633,1652.0,25.8837146,648.0,46.81338518,364.0,0.5294190668434829,2.6785776599999984,34.97371785788973,0.07083945414379435,0.593418,0.10468761018313426,255.08561271,9,1010.52,0.593411,555.4,0.47247800000000006,1410.19,0.17137799999999997,409.8,0.102349,452.71,0.08162699999999998,0.593418,68.015896765,0.22654433707865168,0.181632,24.586023639999993,0.12336390579710146,0.134321,10.42937715499999,0.07471811379310345,0.116473,10.02900362500002,0.10045689423076921,0.071728,28.901472329999997,0.041301600550964185,2.766445593680394,1.0399215659870669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0375862121582,41.98093694016621,132.0,0.0,255.0,0.9657842425500176,4.439533478126843,334.09123075116,6.959376798635283,0.2884134375462164,0.07188585181135769,0.9016495600227391,0.06920496622718715,0.07928721110023017,0.04902013142901776,0.08660380045569614,0.13171641031896017,0.11539586385086743,0.0711097717284885,0.08672205607093046,0.15147527058913493,0.15946451822910582,104.33333333333333,643.2947015357373,6197.483286393343,79125.66666666667,0.3054389953613281,8.672874536512424,3
919_005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002376221716427,0.264178,0.05327909934655462,144.121992965,7,559.26,0.264178,1011.0,0.183967,400.16,0.140129,428.12,0.12468000000000001,412.21,0.081049,0.243258,33.917139795,0.11299238362760834,0.095725,13.868481509999997,0.06960145893719806,0.071154,6.101129314999993,0.04375158620689655,0.092613,6.387761950000012,0.064005875,0.039546,16.45390734,0.02351251170798898,2.4456275022282528,0.9551278464595853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
919_006,1096.2359943977592,3402.0,776.0289791750881,82193.96766559899,1.121431857541116,0.36422341273975345,818.0,32.0943383,1479.0,25.93623573,543.0,49.46570229,364.0,0.5341709566901942,3.282570670000002,28.567228775788575,0.06704873316374348,0.483976,0.08922575131735587,241.43766392499998,11,1010.52,0.483974,557.33,0.37206700000000004,401.12,0.14757000000000003,1410.19,0.14432799999999998,411.25,0.076263,0.483976,60.12533998,0.200285823434992,0.163987,22.989986644999995,0.11535598550724638,0.118305,9.909731409999992,0.07100356206896553,0.110942,9.154773145000014,0.09171322596153847,0.071429,31.499341225000002,0.04501195867768595,2.6152838150115425,1.082466081140668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
919_007,28.141673807483578,198.0,22.553030145622426,1969.5999999999997,3.587815589593043,17.152959465696426,491.0,32.02,190.0,25.84,72.0,49.34,58.0,0.7815574011898451,1.240000000000002,75.56272859478294,0.044363175391618694,0.571088,0.07505483196083869,159.740916975,6,1013.89,0.571084,560.22,0.410956,1414.05,0.090635,419.92,0.071353,871.67,0.05670100000000001,0.571088,49.990356195,0.1664765874799358,0.090761,8.970966135000001,0.04495652898550725,0.024835,1.117523905,0.008042196551724138,0.054541,1.8342008950000062,0.018438072115384615,0.032119,6.789432460000002,0.009712772727272726,5.572460696285973,0.6092701775723408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.04986254374185,48.3294049786445,140.0,0.0,255.0,0.3181343115376696,1.5623600258352788,351.8091922073042,7.257139888234725,0.26815821937801665,0.06432252806621938,0.9215586768466059,0.057668685913063934,0.0672543843586983,0.05525271097816902,0.10480117797847566,0.16060892740879287,0.13189697265619968,0.07452964782712002,0.07585461934404658,0.139723459879504,0.13240941365554845,311.5,563.4948855650456,6671.869084115788,98061.66666666667,0.46096038818359375,12.30678574465121,2
919_008,37.00371322479292,300.0,32.55943503773676,2589.8,3.9246504353915856,19.84064520682069,494.0,31.96,286.0,25.82,106.0,49.7,72.0,0.8099937913464215,1.1400000000000006,82.13729391460086,0.04766345990092382,0.560144,0.08835543068279063,171.63124976,7,1009.55,0.56014,559.26,0.41989,409.8,0.102948,1416.94,0.102856,400.16,0.072757,0.560144,58.97159657999999,0.1963999598715891,0.102864,11.61425993,0.058227958937198065,0.027325,2.3961234849999977,0.017171693103448276,0.070467,3.2369484250000085,0.032492259615384614,0.042412,18.036076185,0.025772564049586777,5.077516512926881,0.7402414775885691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.31157684326172,54.323959832264705,110.75,0.0,255.0,0.8484231675667825,1.7549420705451493,356.82478711664015,6.4189469828254015,0.33682062527753737,0.06432382631422837,0.9344826178760688,0.05410766601560436,0.0683565139770247,0.04450988769529552,0.09752750396724795,0.14735889434808833,0.1415529251098093,0.07589435577389683,0.08218574523922646,0.15217304229730522,0.13633346557611986,183.75,473.81441769015294,4013.8928553116766,41952.5,0.1920604705810547,8.779513696507925,2
