角度(2θ),强度
5.00656514,3345
5.019695423,3360
5.032825705,3272
5.045955988,3234
5.059086271,3174
5.072216553,3365
5.085346836,3214
5.098477119,3201
5.111607401,3321
5.124737684,3215
5.137867967,3310
5.150998249,3292
5.164128532,3199
5.177258815,3402
5.190389097,3280
5.20351938,3329
5.216649663,3285
5.229779946,3269
5.242910228,3160
5.256040511,3194
5.269170794,3325
5.282301076,3302
5.295431359,3273
5.308561642,3143
5.321691924,3369
5.334822207,3202
5.34795249,3245
5.361082772,3311
5.374213055,3207
5.387343338,3228
5.40047362,3202
5.413603903,3205
5.426734186,3299
5.439864468,3220
5.452994751,3182
5.466125034,3240
5.479255316,3228
5.492385599,3362
5.505515882,3149
5.518646164,3287
5.531776447,3215
5.54490673,3134
5.558037012,3260
5.571167295,3150
5.584297578,3153
5.59742786,3155
5.610558143,3197
5.623688426,3184
5.636818709,3295
5.649948991,3188
5.663079274,3143
5.676209557,3198
5.689339839,3244
5.702470122,3193
5.715600405,3172
5.728730687,3237
5.74186097,3193
5.754991253,3062
5.768121535,3200
5.781251818,3276
5.794382101,3156
5.807512383,3141
5.820642666,3186
5.833772949,3166
5.846903231,3199
5.860033514,3208
5.873163797,3243
5.886294079,3190
5.899424362,3174
5.912554645,3098
5.925684927,3134
5.93881521,3161
5.951945493,2999
5.965075775,3164
5.978206058,3204
5.991336341,3169
6.004466623,3096
6.017596906,3206
6.030727189,3186
6.043857472,3223
6.056987754,3205
6.070118037,3226
6.08324832,3224
6.096378602,3038
6.109508885,3188
6.122639168,3155
6.13576945,3148
6.148899733,3187
6.162030016,3043
6.175160298,3236
6.188290581,3211
6.201420864,3111
6.214551146,3106
6.227681429,3109
6.240811712,2990
6.253941994,3106
6.267072277,3054
6.28020256,3064
6.293332842,3217
6.306463125,3239
6.319593408,3157
6.33272369,3076
6.345853973,3102
6.358984256,3096
6.372114538,3221
6.385244821,3199
6.398375104,3143
6.411505386,2941
6.424635669,3046
6.437765952,3126
6.450896235,3201
6.464026517,3146
6.4771568,3103
6.490287083,3102
6.503417365,3116
6.516547648,3122
6.529677931,3134
6.542808213,3092
6.555938496,3005
6.569068779,3077
6.582199061,3000
6.595329344,3068
6.608459627,3087
6.621589909,3141
6.634720192,3094
6.647850475,3153
6.660980757,3083
6.67411104,3180
6.687241323,3073
6.700371605,3145
6.713501888,3085
6.726632171,3027
6.739762453,3030
6.752892736,3112
6.766023019,3122
6.779153301,3039
6.792283584,3057
6.805413867,3021
6.818544149,3094
6.831674432,3186
6.844804715,3107
6.857934997,3102
6.87106528,3190
6.884195563,3137
6.897325846,3052
