角度(2θ),强度
5.00656514,3342
5.019695423,3198
5.032825705,3278
5.045955988,3264
5.059086271,3160
5.072216553,3228
5.085346836,3326
5.098477119,3272
5.111607401,3180
5.124737684,3250
5.137867967,3314
5.150998249,3104
5.164128532,3247
5.177258815,3283
5.190389097,3239
5.20351938,3246
5.216649663,3196
5.229779946,3151
5.242910228,3257
5.256040511,3246
5.269170794,3199
5.282301076,3226
5.295431359,3215
5.308561642,3147
5.321691924,3199
5.334822207,3187
5.34795249,3156
5.361082772,3132
5.374213055,3250
5.387343338,3269
5.40047362,3196
5.413603903,3290
5.426734186,3262
5.439864468,3221
5.452994751,3249
5.466125034,3256
5.479255316,3140
5.492385599,3186
5.505515882,3176
5.518646164,3216
5.531776447,3198
5.54490673,3233
5.558037012,3151
5.571167295,3152
5.584297578,3207
5.59742786,3277
5.610558143,3180
5.623688426,3129
5.636818709,3027
5.649948991,3130
5.663079274,3216
5.676209557,3194
5.689339839,3217
5.702470122,3258
5.715600405,3077
5.728730687,3170
5.74186097,3111
5.754991253,3091
5.768121535,3302
5.781251818,3139
5.794382101,3117
5.807512383,3219
5.820642666,3170
5.833772949,3208
5.846903231,3156
5.860033514,3167
5.873163797,3175
5.886294079,3277
5.899424362,3157
5.912554645,3197
5.925684927,3205
5.93881521,3217
5.951945493,3141
5.965075775,3247
5.978206058,3166
5.991336341,3115
6.004466623,3183
6.017596906,3123
6.030727189,3370
6.043857472,3163
6.056987754,3149
6.070118037,3125
6.08324832,3090
6.096378602,3154
6.109508885,3196
6.122639168,3219
6.13576945,3185
6.148899733,3054
6.162030016,3250
6.175160298,3154
6.188290581,3201
6.201420864,3196
6.214551146,3140
6.227681429,3115
6.240811712,3060
6.253941994,3221
6.267072277,3085
6.28020256,3203
6.293332842,3252
6.306463125,3165
6.319593408,3157
6.33272369,3174
6.345853973,3052
6.358984256,3115
6.372114538,3141
6.385244821,3151
6.398375104,3098
6.411505386,3232
6.424635669,3143
6.437765952,3223
6.450896235,3074
6.464026517,3215
6.4771568,3151
6.490287083,3162
6.503417365,3087
6.516547648,3181
6.529677931,3154
6.542808213,3100
6.555938496,3050
6.569068779,3076
6.582199061,3114
6.595329344,3139
6.608459627,3246
6.621589909,3080
6.634720192,3119
6.647850475,3098
6.660980757,3112
6.67411104,3107
6.687241323,3135
6.700371605,3077
6.713501888,3128
6.726632171,3172
6.739762453,3101
6.752892736,3211
6.766023019,3148
6.779153301,3142
6.792283584,3183
6.805413867,3193
6.818544149,3135
6.831674432,3081
6.844804715,3150
6.857934997,3187
6.87106528,3062
6.884195563,3113
6.897325846,3008
6.910456128,3050
6.923586411,3192
6.936716694,3205
6.949846976,3093
6.962977259,3162
6.976107542,3043
6.989237824,3100
7.002368107,3121
7.01549839,3049
7.028628672,3097
7.041758955,3202
7.054889238,3094
7.06801952,3147
7.081149803,3210
7.094280086,3079
7.107410368,3087
7.120540651,3003
7.133670934,3044
7.146801216,3191
7.159931499,3288
7.173061782,3105
7.186192064,3153
7.199322347,3229
7.21245263,3098
7.225582912,3108
7.238713195,3107
7.251843478,3079
7.26497376,3196
7.278104043,3082
7.291234326,3023
7.304364609,3131
7.317494891,3043
7.330625174,3219
7.343755457,3139
7.356885739,3077
7.370016022,3123
7.383146305,3108
7.396276587,3162
7.40940687,3077
7.422537153,3113
7.435667435,3031
7.448797718,3117
7.461928001,3146
7.475058283,3159
7.488188566,3143
7.501318849,3158
7.514449131,3149
7.527579414,2944
7.540709697,3098
7.553839979,3026
7.566970262,3040
7.580100545,3088
7.593230827,3079
7.60636111,3095
7.619491393,3094
7.632621675,3081
7.645751958,2976
7.658882241,3004
7.672012523,3045
7.685142806,3109
7.698273089,3009
7.711403372,3052
7.724533654,2995
7.737663937,3109
7.75079422,3136
7.763924502,3221
7.777054785,3120
7.790185068,2998
7.80331535,3032
7.816445633,3065
7.829575916,3018
7.842706198,3063
7.855836481,3074
7.868966764,3105
7.882097046,3142
7.895227329,3057
7.908357612,3177
7.921487894,3040
7.934618177,3060
