角度(2θ),强度
5.00656514,3178
5.019695423,3203
5.032825705,3224
5.045955988,3141
5.059086271,3297
5.072216553,3194
5.085346836,3113
5.098477119,3215
5.111607401,3194
5.124737684,3187
5.137867967,3152
5.150998249,3170
5.164128532,3220
5.177258815,3191
5.190389097,3148
5.20351938,3135
5.216649663,3184
5.229779946,3206
5.242910228,3053
5.256040511,3170
5.269170794,3147
5.282301076,3038
5.295431359,3165
5.308561642,3150
5.321691924,3103
5.334822207,3095
5.34795249,3265
5.361082772,3101
5.374213055,3154
5.387343338,3173
5.40047362,3156
5.413603903,3183
5.426734186,3132
5.439864468,3185
5.452994751,3154
5.466125034,3099
5.479255316,3195
5.492385599,3127
5.505515882,3206
5.518646164,3094
5.531776447,3078
5.54490673,3145
5.558037012,3098
5.571167295,3115
5.584297578,3143
5.59742786,3160
5.610558143,3177
5.623688426,3129
5.636818709,3109
5.649948991,3234
5.663079274,3135
5.676209557,3062
5.689339839,3108
5.702470122,3259
5.715600405,3178
5.728730687,3141
5.74186097,3142
5.754991253,3099
5.768121535,3168
5.781251818,3103
5.794382101,3162
5.807512383,3076
5.820642666,3020
5.833772949,3087
5.846903231,3103
5.860033514,3151
5.873163797,3223
5.886294079,3171
5.899424362,3148
5.912554645,3123
5.925684927,3044
5.93881521,3136
5.951945493,3164
5.965075775,3067
5.978206058,3016
5.991336341,3088
6.004466623,3185
6.017596906,3182
6.030727189,3014
6.043857472,3025
6.056987754,3091
6.070118037,3091
6.08324832,3158
6.096378602,2994
6.109508885,2994
6.122639168,3043
6.13576945,3105
6.148899733,3067
6.162030016,3081
6.175160298,3116
6.188290581,2986
6.201420864,3211
6.214551146,3041
6.227681429,3166
6.240811712,3073
6.253941994,3068
6.267072277,3024
6.28020256,2971
6.293332842,2974
6.306463125,2956
6.319593408,2967
6.33272369,3000
6.345853973,3093
6.358984256,2981
6.372114538,3004
6.385244821,3128
6.398375104,3119
6.411505386,2963
6.424635669,2933
6.437765952,3004
6.450896235,3056
6.464026517,2952
6.4771568,3043
6.490287083,3067
6.503417365,3052
6.516547648,3018
6.529677931,3062
6.542808213,3112
6.555938496,3044
6.569068779,2983
6.582199061,2994
6.595329344,3033
6.608459627,3092
6.621589909,3025
6.634720192,3101
6.647850475,3106
6.660980757,2913
6.67411104,3063
6.687241323,3076
6.700371605,2963
6.713501888,3047
6.726632171,2966
6.739762453,2920
6.752892736,3015
6.766023019,3080
6.779153301,3061
6.792283584,2911
6.805413867,2932
6.818544149,2989
6.831674432,3068
6.844804715,2988
6.857934997,3009
6.87106528,2948
6.884195563,3017
6.897325846,2918
6.910456128,3104
6.923586411,2970
6.936716694,2979
6.949846976,3027
6.962977259,3057
6.976107542,3079
6.989237824,2953
7.002368107,2889
7.01549839,3077
7.028628672,2935
7.041758955,3072
7.054889238,2940
7.06801952,3076
7.081149803,3050
7.094280086,2981
7.107410368,2884
7.120540651,3044
7.133670934,2960
7.146801216,3035
7.159931499,2991
7.173061782,3064
7.186192064,2960
7.199322347,2916
7.21245263,2901
7.225582912,2948
7.238713195,2993
7.251843478,3047
7.26497376,3011
7.278104043,2918
7.291234326,2982
7.304364609,2987
7.317494891,2991
7.330625174,2948
7.343755457,2935
7.356885739,2986
7.370016022,3031
7.383146305,2963
7.396276587,2941
7.40940687,2993
7.422537153,2980
7.435667435,2908
7.448797718,2919
7.461928001,2921
7.475058283,2960
7.488188566,3068
7.501318849,2960
7.514449131,2990
7.527579414,3011
7.540709697,2872
7.553839979,2856
7.566970262,3033
7.580100545,2966
7.593230827,2978
7.60636111,3007
7.619491393,2907
7.632621675,2998
7.645751958,2866
7.658882241,3036
7.672012523,2881
7.685142806,2933
7.698273089,2908
7.711403372,2927
7.724533654,2920
7.737663937,2888
7.75079422,2939
7.763924502,2912
7.777054785,2983
7.790185068,2966
7.80331535,3013
7.816445633,2887
7.829575916,2946
7.842706198,3020
7.855836481,2840
7.868966764,3001
7.882097046,2951
7.895227329,2995
7.908357612,3000
7.921487894,2890
7.934618177,2948
7.94774846,2940
7.960878742,2892
7.974009025,2850
7.987139308,2910
8.00026959,2887
8.013399873,2901
8.026530156,2925
8.039660438,2828
8.052790721,3008
8.065921004,2816
8.079051286,2857
8.092181569,2960
8.105311852,2882
8.118442135,2895
8.131572417,2817
8.1447027,2986
