角度(2θ),强度
5.00656514,3338
5.019695423,3309
5.032825705,3219
5.045955988,3322
5.059086271,3271
5.072216553,3222
5.085346836,3215
5.098477119,3289
5.111607401,3307
5.124737684,3287
5.137867967,3377
5.150998249,3365
5.164128532,3268
5.177258815,3345
5.190389097,3241
5.20351938,3277
5.216649663,3343
5.229779946,3369
5.242910228,3296
5.256040511,3364
5.269170794,3251
5.282301076,3296
5.295431359,3319
5.308561642,3266
5.321691924,3292
5.334822207,3333
5.34795249,3254
5.361082772,3376
5.374213055,3246
5.387343338,3283
5.40047362,3257
5.413603903,3286
5.426734186,3200
5.439864468,3227
5.452994751,3249
5.466125034,3152
5.479255316,3255
5.492385599,3344
5.505515882,3374
5.518646164,3232
5.531776447,3213
5.54490673,3274
5.558037012,3297
5.571167295,3224
5.584297578,3301
5.59742786,3244
5.610558143,3236
5.623688426,3185
5.636818709,3281
5.649948991,3274
5.663079274,3256
5.676209557,3314
5.689339839,3254
5.702470122,3247
5.715600405,3195
5.728730687,3284
5.74186097,3323
5.754991253,3211
5.768121535,3367
5.781251818,3350
5.794382101,3190
5.807512383,3246
5.820642666,3310
5.833772949,3123
5.846903231,3212
5.860033514,3273
5.873163797,3330
5.886294079,3293
5.899424362,3229
5.912554645,3157
5.925684927,3227
5.93881521,3278
5.951945493,3330
5.965075775,3327
5.978206058,3242
5.991336341,3365
6.004466623,3208
6.017596906,3238
6.030727189,3184
6.043857472,3297
6.056987754,3289
6.070118037,3173
6.08324832,3228
6.096378602,3187
6.109508885,3083
6.122639168,3118
6.13576945,3250
6.148899733,3246
6.162030016,3214
6.175160298,3179
6.188290581,3176
6.201420864,3112
6.214551146,3171
6.227681429,3266
6.240811712,3169
6.253941994,3159
6.267072277,3201
6.28020256,3378
6.293332842,3270
6.306463125,3192
6.319593408,3224
6.33272369,3198
6.345853973,3255
6.358984256,3174
6.372114538,3217
6.385244821,3234
6.398375104,3293
6.411505386,3241
6.424635669,3376
6.437765952,3225
6.450896235,3200
6.464026517,3100
6.4771568,3175
6.490287083,3210
6.503417365,3141
6.516547648,3302
6.529677931,3218
6.542808213,3203
6.555938496,3157
6.569068779,3202
6.582199061,3265
6.595329344,3177
6.608459627,3204
6.621589909,3216
6.634720192,3187
6.647850475,3183
6.660980757,3206
6.67411104,3205
6.687241323,3206
6.700371605,3152
6.713501888,3218
6.726632171,3262
6.739762453,3261
6.752892736,3159
6.766023019,3150
6.779153301,3319
6.792283584,3145
6.805413867,3246
6.818544149,3100
6.831674432,3231
6.844804715,3208
6.857934997,3150
6.87106528,3251
6.884195563,3217
6.897325846,3217
6.910456128,3164
6.923586411,3268
6.936716694,3169
6.949846976,3121
6.962977259,3145
6.976107542,3204
6.989237824,3267
7.002368107,3271
7.01549839,3265
7.028628672,3254
7.041758955,3161
7.054889238,3253
7.06801952,3278
7.081149803,3155
7.094280086,3171
7.107410368,3186
7.120540651,3244
7.133670934,3214
7.146801216,3252
7.159931499,3111
7.173061782,3250
7.186192064,3042
7.199322347,3167
7.21245263,3201
7.225582912,3217
7.238713195,3153
7.251843478,3248
7.26497376,3228
7.278104043,3135
7.291234326,3177
7.304364609,3257
7.317494891,3137
7.330625174,3165
7.343755457,3084
7.356885739,3223
7.370016022,3169
7.383146305,3189
7.396276587,3227
7.40940687,3030
7.422537153,3133
7.435667435,3125
7.448797718,3185
7.461928001,3216
7.475058283,3075
7.488188566,3166
7.501318849,3178
7.514449131,3071
7.527579414,3129
7.540709697,3234
7.553839979,3266
7.566970262,3069
7.580100545,3250
7.593230827,3129
7.60636111,3122
7.619491393,3166
7.632621675,3216
7.645751958,3038
7.658882241,3085
7.672012523,3151
7.685142806,3304
7.698273089,3176
7.711403372,3168
7.724533654,3244
7.737663937,3126
7.75079422,3138
7.763924502,3043
7.777054785,3080
7.790185068,3141
7.80331535,3165
7.816445633,3109
7.829575916,3041
7.842706198,3060
7.855836481,3091
7.868966764,3090
7.882097046,3207
7.895227329,3018
7.908357612,3133
7.921487894,3142
7.934618177,3089
7.94774846,3077
7.960878742,3069
7.974009025,3172
7.987139308,3066
8.00026959,3002
8.013399873,3099
8.026530156,3127
8.039660438,3058
8.052790721,3025
8.065921004,3027
8.079051286,3054
8.092181569,3105
8.105311852,3024
8.118442135,3188
8.131572417,3068
8.1447027,3148
8.157832983,3111
8.170963265,3055
8.184093548,3107
8.197223831,3087
8.210354113,3042
8.223484396,3017
8.236614679,3095
8.249744961,3023
8.262875244,3065
8.276005527,3028
8.289135809,3037
8.302266092,3094
8.315396375,3006
8.328526657,3001
8.34165694,2977
8.354787223,3009
8.367917505,2945
8.381047788,3072
8.394178071,3052
8.407308353,2962
8.420438636,3002
8.433568919,3118
8.446699201,3087
8.459829484,3048
8.472959767,2997
8.486090049,3039
8.499220332,3062
8.512350615,2988
8.525480898,2974
8.53861118,2972
8.551741463,2993
8.564871746,3026
8.578002028,2938
8.591132311,2990
8.604262594,3019
8.617392876,2939
8.630523159,3093
8.643653442,3058
8.656783724,2969
8.669914007,2947
8.68304429,2987
8.696174572,2968
8.709304855,2937
8.722435138,2872
8.73556542,3018
8.748695703,2942
8.761825986,2911
8.774956268,2968
8.788086551,3002
8.801216834,2903
8.814347116,2959
8.827477399,2954
8.840607682,3008
8.853737964,2910
8.866868247,2865
8.87999853,2972
8.893128812,2872
8.906259095,2929
8.919389378,2857
8.932519661,2960
8.945649943,2909
8.958780226,2915
8.971910509,2869
8.985040791,2856
8.998171074,2953
9.011301357,2925
9.024431639,2859
9.037561922,2844
9.050692205,2882
9.063822487,2851
9.07695277,2930
9.090083053,2920
9.103213335,2893
9.116343618,2923
9.129473901,2899
9.142604183,2927
9.155734466,2855
9.168864749,2867
9.181995031,2875
9.195125314,2908
9.208255597,2748
9.221385879,2818
9.234516162,2782
9.247646445,2835
9.260776727,2848
9.27390701,2833
9.287037293,2834
9.300167575,2879
9.313297858,2845
9.326428141,2859
9.339558424,2853
9.352688706,2820
9.365818989,2815
9.378949272,2828
9.392079554,2803
9.405209837,2793
9.41834012,2731
9.431470402,2899
9.444600685,2858
9.457730968,2769
9.47086125,2749
9.483991533,2859
9.497121816,2832
9.510252098,2908
9.523382381,2828
9.536512664,2779
9.549642946,2756
9.562773229,2740
9.575903512,2791
9.589033794,2651
9.602164077,2931
9.61529436,2775
9.628424642,2775
9.641554925,2737
9.654685208,2776
9.66781549,2845
9.680945773,2685
9.694076056,2778
9.707206338,2808
9.720336621,2779
9.733466904,2754
9.746597187,2700
9.759727469,2752
9.772857752,2744
9.785988035,2705
9.799118317,2756
9.8122486,2790
9.825378883,2674
9.838509165,2717
9.851639448,2722
9.864769731,2840
9.877900013,2738
9.891030296,2670
9.904160579,2819
9.917290861,2710
9.930421144,2704
9.943551427,2707
9.956681709,2716
9.969811992,2747
9.982942275,2794
9.996072557,2740
10.00920284,2615
10.02233312,2564
10.03546341,2758
10.04859369,2767
10.06172397,2665
10.07485425,2683
10.08798454,2639
10.10111482,2574
10.1142451,2766
10.12737538,2690
10.14050567,2656
10.15363595,2636
10.16676623,2717
10.17989652,2691
10.1930268,2654
10.20615708,2649
10.21928736,2614
10.23241765,2670
10.24554793,2719
10.25867821,2569
10.27180849,2726
10.28493878,2744
10.29806906,2733
10.31119934,2717
10.32432962,2606
10.33745991,2625
10.35059019,2671
10.36372047,2682
10.37685076,2671
10.38998104,2608
10.40311132,2633
10.4162416,2671
10.42937189,2695
10.44250217,2562
10.45563245,2506
10.46876273,2696
10.48189302,2691
10.4950233,2649
10.50815358,2601
10.52128386,2566
10.53441415,2723
10.54754443,2789
10.56067471,2695
10.573805,2620
10.58693528,2672
10.60006556,2599
10.61319584,2624
10.62632613,2584
10.63945641,2604
10.65258669,2688
10.66571697,2611
10.67884726,2484
10.69197754,2594
10.70510782,2584
10.71823811,2587
10.73136839,2563
10.74449867,2596
10.75762895,2554
10.77075924,2585
10.78388952,2657
10.7970198,2600
10.81015008,2530
10.82328037,2621
10.83641065,2605
10.84954093,2619
10.86267121,2612
10.8758015,2521
10.88893178,2517
10.90206206,2509
10.91519235,2480
10.92832263,2499
10.94145291,2561
10.95458319,2578
10.96771348,2544
10.98084376,2478
10.99397404,2468
11.00710432,2499
11.02023461,2501
11.03336489,2583
11.04649517,2540
11.05962545,2569
11.07275574,2440
11.08588602,2490
11.0990163,2542
11.11214659,2544
11.12527687,2590
11.13840715,2496
11.15153743,2399
11.16466772,2446
11.177798,2388
