角度(2θ),强度
5.00656514,3370
5.019695423,3473
5.032825705,3485
5.045955988,3347
5.059086271,3452
5.072216553,3303
5.085346836,3396
5.098477119,3333
5.111607401,3350
5.124737684,3346
5.137867967,3260
5.150998249,3274
5.164128532,3284
5.177258815,3358
5.190389097,3326
5.20351938,3320
5.216649663,3418
5.229779946,3284
5.242910228,3246
5.256040511,3305
5.269170794,3281
5.282301076,3283
5.295431359,3330
5.308561642,3276
5.321691924,3389
5.334822207,3289
5.34795249,3293
5.361082772,3274
5.374213055,3286
5.387343338,3360
5.40047362,3351
5.413603903,3315
5.426734186,3440
5.439864468,3445
5.452994751,3349
5.466125034,3257
5.479255316,3422
5.492385599,3247
5.505515882,3295
5.518646164,3370
5.531776447,3254
5.54490673,3424
5.558037012,3301
5.571167295,3371
5.584297578,3282
5.59742786,3369
5.610558143,3277
5.623688426,3312
5.636818709,3366
5.649948991,3333
5.663079274,3201
5.676209557,3229
5.689339839,3248
5.702470122,3295
5.715600405,3298
5.728730687,3258
5.74186097,3206
5.754991253,3264
5.768121535,3259
5.781251818,3303
5.794382101,3250
5.807512383,3248
5.820642666,3159
5.833772949,3323
5.846903231,3240
5.860033514,3079
5.873163797,3252
5.886294079,3182
5.899424362,3260
5.912554645,3322
5.925684927,3279
5.93881521,3281
5.951945493,3204
5.965075775,3185
5.978206058,3126
5.991336341,3234
6.004466623,3311
6.017596906,3267
6.030727189,3197
6.043857472,3221
6.056987754,3223
6.070118037,3244
6.08324832,3132
6.096378602,3164
6.109508885,3268
6.122639168,3186
6.13576945,3242
6.148899733,3338
6.162030016,3135
6.175160298,3264
6.188290581,3246
6.201420864,3102
6.214551146,3268
6.227681429,3126
6.240811712,3259
6.253941994,3275
6.267072277,3318
6.28020256,3248
6.293332842,3228
6.306463125,3186
6.319593408,3300
6.33272369,3039
6.345853973,3150
6.358984256,3193
6.372114538,3298
6.385244821,3210
6.398375104,3332
6.411505386,3235
6.424635669,3259
6.437765952,3162
6.450896235,3308
6.464026517,3170
6.4771568,3223
6.490287083,3285
6.503417365,3207
6.516547648,3183
6.529677931,3257
6.542808213,3242
6.555938496,3381
6.569068779,3275
6.582199061,3241
6.595329344,3180
6.608459627,3183
6.621589909,3253
6.634720192,3281
6.647850475,3151
6.660980757,3215
6.67411104,3297
6.687241323,3232
6.700371605,3329
6.713501888,3188
6.726632171,3201
6.739762453,3168
6.752892736,3241
6.766023019,3265
6.779153301,3264
6.792283584,3253
6.805413867,3113
6.818544149,3175
6.831674432,3314
6.844804715,3222
6.857934997,3250
6.87106528,3094
6.884195563,3224
6.897325846,3212
6.910456128,3240
6.923586411,3267
6.936716694,3214
6.949846976,3257
6.962977259,3118
6.976107542,3235
6.989237824,3274
7.002368107,3255
7.01549839,3142
7.028628672,3146
7.041758955,3039
7.054889238,3265
7.06801952,3192
7.081149803,3131
7.094280086,3250
7.107410368,3170
7.120540651,3039
7.133670934,3152
7.146801216,3210
7.159931499,3198
7.173061782,3215
7.186192064,3249
7.199322347,3139
7.21245263,3193
7.225582912,3156
7.238713195,3264
7.251843478,3150
7.26497376,3087
7.278104043,3206
7.291234326,3260
7.304364609,3228
7.317494891,3173
7.330625174,3196
7.343755457,3252
7.356885739,3202
7.370016022,3132
7.383146305,3159
7.396276587,3156
7.40940687,3146
7.422537153,3185
7.435667435,3167
7.448797718,3201
7.461928001,3143
7.475058283,3188
7.488188566,3155
7.501318849,3239
7.514449131,3156
7.527579414,3171
7.540709697,3193
7.553839979,3235
7.566970262,3122
7.580100545,3301
7.593230827,3227
7.60636111,3145
7.619491393,3209
7.632621675,3200
7.645751958,3053
7.658882241,3130
7.672012523,3245
7.685142806,3032
7.698273089,3040
7.711403372,3057
7.724533654,3167
7.737663937,3014
7.75079422,3161
7.763924502,3094
7.777054785,3040
7.790185068,3103
7.80331535,3184
7.816445633,3189
7.829575916,3094
7.842706198,3133
7.855836481,3090
7.868966764,3220
7.882097046,3036
7.895227329,3138
7.908357612,3083
7.921487894,3088
7.934618177,3053
7.94774846,3112
7.960878742,3188
7.974009025,3089
7.987139308,3068
8.00026959,3090
8.013399873,3148
8.026530156,3123
8.039660438,3157
8.052790721,3077
8.065921004,3089
8.079051286,3054
8.092181569,2993
8.105311852,3124
8.118442135,3042
8.131572417,3127
8.1447027,2995
8.157832983,3090
8.170963265,3086
8.184093548,2954
8.197223831,3077
8.210354113,3017
8.223484396,3088
8.236614679,3115
8.249744961,3142
8.262875244,3170
8.276005527,3092
8.289135809,3088
8.302266092,3061
8.315396375,3161
8.328526657,3096
8.34165694,3081
8.354787223,3023
8.367917505,2952
8.381047788,3069
8.394178071,3111
8.407308353,3100
8.420438636,2955
8.433568919,3111
8.446699201,3133
8.459829484,3076
8.472959767,3013
8.486090049,3080
8.499220332,3022
8.512350615,3015
8.525480898,3134
8.53861118,3123
8.551741463,3047
8.564871746,2977
8.578002028,3081
8.591132311,2970
8.604262594,3040
8.617392876,2999
8.630523159,2887
8.643653442,2913
8.656783724,3031
8.669914007,3054
8.68304429,2936
8.696174572,2986
8.709304855,3021
8.722435138,3038
8.73556542,2975
8.748695703,3029
8.761825986,2947
8.774956268,3031
8.788086551,3105
8.801216834,3027
8.814347116,2971
8.827477399,3078
8.840607682,2923
8.853737964,2985
8.866868247,2878
8.87999853,2902
8.893128812,2857
8.906259095,2913
8.919389378,2951
8.932519661,2944
8.945649943,3021
8.958780226,2929
8.971910509,2886
8.985040791,3022
8.998171074,3074
9.011301357,2885
9.024431639,2896
9.037561922,3061
9.050692205,2887
9.063822487,2958
9.07695277,3011
9.090083053,2979
9.103213335,2949
9.116343618,2953
9.129473901,2940
9.142604183,2822
9.155734466,2983
9.168864749,2856
9.181995031,2926
9.195125314,2852
9.208255597,2963
9.221385879,2989
9.234516162,2947
9.247646445,2929
9.260776727,2915
9.27390701,2918
9.287037293,2815
9.300167575,2856
9.313297858,2848
9.326428141,2922
9.339558424,2811
9.352688706,2988
9.365818989,2922
9.378949272,2844
9.392079554,2847
9.405209837,2842
9.41834012,2907
9.431470402,2928
9.444600685,2912
9.457730968,2821
9.47086125,2859
9.483991533,2780
9.497121816,2759
9.510252098,2894
9.523382381,2758
9.536512664,2841
9.549642946,2837
9.562773229,2787
9.575903512,2835
9.589033794,2908
9.602164077,2870
9.61529436,2893
9.628424642,2821
9.641554925,2965
9.654685208,2731
9.66781549,2778
9.680945773,2871
9.694076056,2903
9.707206338,2871
9.720336621,2833
9.733466904,2725
9.746597187,2797
9.759727469,2847
9.772857752,2785
9.785988035,2712
9.799118317,2857
9.8122486,2794
9.825378883,2779
9.838509165,2918
9.851639448,2711
9.864769731,2777
9.877900013,2797
9.891030296,2820
9.904160579,2801
9.917290861,2771
9.930421144,2713
9.943551427,2872
9.956681709,2733
9.969811992,2900
9.982942275,2766
9.996072557,2650
10.00920284,2781
10.02233312,2727
10.03546341,2788
10.04859369,2790
10.06172397,2791
10.07485425,2804
10.08798454,2738
10.10111482,2752
10.1142451,2776
10.12737538,2650
10.14050567,2784
10.15363595,2733
10.16676623,2765
10.17989652,2802
10.1930268,2813
10.20615708,2705
10.21928736,2811
10.23241765,2738
10.24554793,2736
10.25867821,2707
10.27180849,2732
10.28493878,2764
10.29806906,2687
10.31119934,2625
10.32432962,2640
10.33745991,2791
10.35059019,2754
10.36372047,2634
10.37685076,2795
10.38998104,2710
10.40311132,2707
10.4162416,2741
10.42937189,2692
10.44250217,2708
