角度(2θ),强度
10,126
10.02,106
10.04,108
10.06,90
10.08,114
10.1,102
10.12,110
10.14,100
10.16,86
10.18,98
10.2,132
10.22,100
10.24,98
10.26,82
10.28,96
10.3,94
10.32,102
10.34,98
10.36,106
10.38,104
10.4,118
10.42,120
10.44,104
10.46,112
10.48,114
10.5,88
10.52,86
10.54,112
10.56,104
10.58,104
10.6,98
10.62,88
10.64,100
10.66,92
10.68,80
10.7,82
10.72,100
10.74,92
10.76,110
10.78,80
10.8,88
10.82,84
10.84,92
10.86,94
10.88,78
10.9,92
10.92,96
10.94,72
10.96,74
10.98,82
11,104
11.02,98
11.04,90
11.06,72
11.08,78
11.1,94
11.12,82
11.14,88
11.16,100
11.18,98
11.2,84
11.22,76
11.24,74
11.26,76
11.28,82
11.3,78
11.32,80
11.34,70
11.36,84
11.38,76
11.4,100
11.42,56
11.44,80
11.46,78
11.48,80
11.5,86
11.52,70
11.54,74
11.56,62
11.58,62
11.6,68
11.62,82
11.64,80
11.66,70
11.68,82
11.7,72
11.72,76
11.74,88
11.76,78
11.78,68
11.8,62
11.82,82
11.84,62
11.86,80
11.88,78
11.9,74
11.92,78
11.94,70
11.96,76
11.98,58
12,54
12.02,60
12.04,90
12.06,76
12.08,70
12.1,64
12.12,56
12.14,58
12.16,80
12.18,64
12.2,52
12.22,62
12.24,78
12.26,72
12.28,66
12.3,66
12.32,78
12.34,76
12.36,64
12.38,68
12.4,56
12.42,68
12.44,62
12.46,64
12.48,54
12.5,62
12.52,66
12.54,66
12.56,62
12.58,60
12.6,68
12.62,66
12.64,60
12.66,56
12.68,84
12.7,54
12.72,68
12.74,66
12.76,54
12.78,62
12.8,68
12.82,68
12.84,78
12.86,62
12.88,58
12.9,72
12.92,52
12.94,66
12.96,64
12.98,54
13,48
13.02,78
13.04,60
13.06,74
13.08,50
13.1,56
13.12,74
13.14,50
13.16,66
13.18,64
13.2,68
13.22,74
13.24,64
13.26,54
13.28,72
13.3,62
13.32,56
13.34,70
13.36,56
13.38,70
13.4,68
13.42,62
13.44,62
13.46,68
13.48,72
13.5,58
13.52,58
13.54,70
13.56,66
13.58,52
13.6,66
13.62,66
13.64,78
13.66,76
13.68,54
13.7,54
13.72,62
13.74,60
13.76,56
13.78,66
13.8,50
13.82,60
13.84,66
13.86,62
13.88,54
13.9,66
13.92,54
13.94,66
13.96,74
13.98,72
14,46
14.02,72
14.04,50
14.06,56
14.08,50
14.1,66
14.12,70
14.14,66
14.16,80
14.18,80
14.2,60
14.22,58
14.24,56
14.26,60
14.28,68
14.3,62
14.32,70
14.34,60
14.36,52
14.38,58
14.4,62
14.42,74
14.44,72
14.46,62
14.48,62
14.5,74
14.52,46
14.54,50
14.56,74
14.58,72
14.6,62
14.62,64
14.64,62
14.66,68
14.68,70
14.7,78
14.72,64
14.74,76
14.76,68
14.78,52
14.8,64
14.82,70
14.84,74
14.86,54
14.88,70
14.9,78
14.92,86
14.94,52
14.96,62
14.98,68
15,66
15.02,52
15.04,68
15.06,58
15.08,68
15.1,68
15.12,68
15.14,66
15.16,58
15.18,76
15.2,70
15.22,68
15.24,72
15.26,68
15.28,64
15.3,56
15.32,72
15.34,66
15.36,58
15.38,54
15.4,68
15.42,88
15.44,60
15.46,58
15.48,64
15.5,54
15.52,76
15.54,62
15.56,66
15.58,50
15.6,66
15.62,70
15.64,64
15.66,76
15.68,62
15.7,62
15.72,68
15.74,56
15.76,68
15.78,68
15.8,78
15.82,64
15.84,50
15.86,74
15.88,58
15.9,70
15.92,72
15.94,80
15.96,70
15.98,60
16,64
16.02,68
16.04,70
16.06,70
16.08,76
16.1,68
16.12,70
16.14,66
16.16,64
16.18,64
16.2,88
16.22,78
16.24,64
16.26,64
16.28,74
16.3,74
16.32,62
16.34,70
16.36,70
16.38,72
16.4,72
16.42,68
16.44,68
16.46,74
16.48,80
16.5,78
16.52,50
16.54,70
16.56,100
16.58,78
16.6,64
16.62,76
16.64,90
16.66,74
16.68,70
16.7,68
16.72,84
16.74,80
16.76,60
16.78,68
16.8,72
16.82,82
16.84,82
16.86,64
16.88,66
16.9,70
16.92,68
16.94,74
16.96,62
16.98,82
17,72
17.02,72
17.04,86
17.06,82
17.08,70
17.1,78
17.12,90
17.14,82
17.16,66
17.18,86
17.2,76
17.22,76
17.24,86
17.26,76
17.28,74
17.3,94
17.32,60
17.34,76
17.36,86
17.38,74
17.4,82
17.42,90
17.44,76
17.46,80
17.48,80
17.5,76
17.52,76
17.54,72
17.56,84
17.58,66
17.6,82
17.62,66
17.64,84
17.66,70
17.68,82
17.7,84
17.72,84
17.74,74
17.76,94
17.78,70
17.8,88
17.82,78
17.84,76
17.86,78
17.88,82
17.9,86
17.92,68
17.94,76
17.96,82
17.98,62
18,78
18.02,100
18.04,78
18.06,66
18.08,76
18.1,82
18.12,84
18.14,80
18.16,80
18.18,74
18.2,74
18.22,82
18.24,90
18.26,92
18.28,94
18.3,82
